time,binanceDOTUSDTbidMax,binanceDOTUSDTsellMin,nicehashDOTUSDTbidMax,nicehashDOTUSDTsellMin,okxDOTUSDTDOT-USDTbidMax,okxDOTUSDTDOT-USDTsellMin,krakenDOTUSDTbidMax,krakenDOTUSDTsellMin,cryptoDOTUSDTbidMax,cryptoDOTUSDTsellMin,
14 March 2023 05:39:03,6.101,6.103,6.09,6.11,6.097,6.099,6.1197,6.0875,6.1078,6.1014,
14 March 2023 05:39:03,6.101,6.102,6.09,6.11,6.097,6.099,6.1197,6.0875,6.1078,6.1014,
14 March 2023 05:39:03,6.101,6.102,6.09,6.11,6.097,6.099,6.1197,6.0875,6.1078,6.1014,
14 March 2023 05:39:03,6.101,6.102,6.09,6.11,6.097,6.099,6.1197,6.0875,6.1078,6.1014,
14 March 2023 05:39:03,6.101,6.102,6.09,6.11,6.097,6.099,6.1197,6.0875,6.1078,6.1014,
14 March 2023 05:39:04,6.101,6.102,6.09,6.11,6.097,6.099,6.1197,6.0875,6.1078,6.1014,
14 March 2023 05:39:04,6.101,6.102,6.09,6.11,6.097,6.099,6.1197,6.0875,6.1078,6.1014,
14 March 2023 05:39:04,6.101,6.102,6.09,6.11,6.097,6.099,6.1197,6.0875,6.1078,6.1014,
14 March 2023 05:39:04,6.101,6.101,6.09,6.11,6.097,6.099,6.1197,6.0875,6.1078,6.1014,
14 March 2023 05:39:04,6.101,6.101,6.09,6.11,6.097,6.099,6.1197,6.0875,6.1078,6.1014,
14 March 2023 05:39:04,6.101,6.101,6.09,6.11,6.097,6.099,6.1197,6.0875,6.1078,6.1014,
14 March 2023 05:39:04,6.101,6.101,6.09,6.11,6.097,6.099,6.1197,6.0875,6.1078,6.1014,
14 March 2023 05:39:04,6.101,6.101,6.09,6.11,6.097,6.099,6.1197,6.0875,6.1078,6.1014,
14 March 2023 05:39:04,6.101,6.101,6.09,6.1,6.097,6.099,6.1197,6.0875,6.1078,6.1014,
14 March 2023 05:39:04,6.101,6.101,6.09,6.1,6.097,6.099,6.1197,6.0875,6.1078,6.1014,
14 March 2023 05:39:05,6.101,6.101,6.09,6.1,6.097,6.099,6.1197,6.0875,6.1078,6.1014,
14 March 2023 05:39:05,6.101,6.101,6.09,6.1,6.097,6.099,6.1197,6.0875,6.1078,6.1014,
14 March 2023 05:39:05,6.101,6.101,6.09,6.1,6.097,6.099,6.1197,6.0875,6.1078,6.1014,
14 March 2023 05:39:06,6.101,6.101,6.09,6.1,6.097,6.099,6.1197,6.0875,6.1078,6.1014,
14 March 2023 05:39:06,6.101,6.101,6.09,6.1,6.097,6.099,6.1197,6.0875,6.1078,6.1014,
