time,binanceLTCUSDTbidMax,binanceLTCUSDTsellMin,nicehashLTCUSDTbidMax,nicehashLTCUSDTsellMin,okxLTCUSDTLTC-USDTbidMax,okxLTCUSDTLTC-USDTsellMin,krakenLTCUSDTbidMax,krakenLTCUSDTsellMin,cryptoLTCUSDTbidMax,cryptoLTCUSDTsellMin,
14 March 2023 05:43:13,80.57,80.69,80.49,80.8,80.58,80.59,80.93627,80.41681,80.669,80.606,
14 March 2023 05:43:13,80.57,80.69,80.49,80.8,80.58,80.59,80.93627,80.41681,80.669,80.606,
14 March 2023 05:43:13,80.58,80.69,80.49,80.8,80.58,80.59,80.93627,80.41681,80.669,80.606,
14 March 2023 05:43:13,80.58,80.6,80.49,80.8,80.58,80.59,80.93627,80.41681,80.669,80.606,
14 March 2023 05:43:13,80.58,80.59,80.49,80.8,80.58,80.59,80.93627,80.41681,80.669,80.606,
14 March 2023 05:43:13,80.58,80.59,80.49,80.8,80.58,80.59,80.93627,80.41681,80.669,80.606,
14 March 2023 05:43:13,80.58,80.59,80.49,80.8,80.58,80.59,80.93627,80.41681,80.669,80.606,
14 March 2023 05:43:13,80.58,80.59,80.49,80.8,80.58,80.59,80.93627,80.41681,80.669,80.606,
14 March 2023 05:43:14,80.58,80.59,80.49,80.8,80.58,80.59,80.93627,80.41681,80.669,80.606,
14 March 2023 05:43:14,80.58,80.59,80.49,80.8,80.58,80.59,80.93627,80.41681,80.669,80.606,
14 March 2023 05:43:14,80.58,80.59,80.49,80.8,80.58,80.59,80.93627,80.41681,80.669,80.606,
14 March 2023 05:43:14,80.58,80.59,80.49,80.8,80.58,80.59,80.93627,80.41681,80.669,80.606,
14 March 2023 05:43:14,80.58,80.59,80.49,80.8,80.58,80.59,80.93627,80.41681,80.669,80.606,
14 March 2023 05:43:14,80.58,80.59,80.49,80.8,80.58,80.59,80.93627,80.41681,80.669,80.606,
14 March 2023 05:43:14,80.58,80.58,80.49,80.8,80.58,80.59,80.93627,80.41681,80.669,80.606,
14 March 2023 05:43:14,80.57,80.58,80.49,80.8,80.58,80.59,80.93627,80.41681,80.669,80.606,
14 March 2023 05:43:14,80.57,80.58,80.49,80.8,80.58,80.59,80.93627,80.41681,80.669,80.606,
14 March 2023 05:43:14,80.57,80.58,80.49,80.8,80.58,80.59,80.93627,80.41681,80.669,80.606,
14 March 2023 05:43:14,80.57,80.58,80.49,80.8,80.57,80.59,80.93627,80.41681,80.669,80.606,
