time,binanceAAVEBTCbidMax,binanceAAVEBTCsellMin,nicehashAAVEBTCbidMax,nicehashAAVEBTCsellMin,okxAAVEBTCAAVE-BTCbidMax,okxAAVEBTCAAVE-BTCsellMin,bitstampAAVEBTCbidMax,bitstampAAVEBTCsellMin,cryptoAAVEBTCbidMax,cryptoAAVEBTCsellMin,
638143199133335322,0,0,0,0,0,0,0,0,0,0.0048111,
638143199133341516,0,0,0,0,0,0,0,0,0,0.0040199,
638143199133342630,0,0,0,0,0,0,0,0,0,0.0037878,
638143199133343647,0,0,0,0,0,0,0,0,0,0.0031772,
638143199133344429,0,0,0,0,0,0,0,0,0,0.0031772,
638143199133345186,0,0,0,0,0,0,0,0,0,0.0031772,
638143199133346088,0,0,0,0,0,0,0,0,0.0022406,0.0031643,
638143199133363631,0,0,0,0,0,0,0,0,0.0031302,0.0031643,
638143199133364437,0,0,0,0,0,0,0,0,0.0031433,0.0031643,
638143199133365577,0,0,0,0,0,0,0,0,0.0031443,0.0031643,
638143199133367317,0,0,0,0,0,0,0,0,0.0031443,0.0031643,
638143199133367585,0,0,0,0,0,0,0,0,0.0031456,0.0031643,
638143199133367831,0,0,0,0,0,0,0,0,0.0031466,0.0031643,
638143199133368021,0,0,0,0,0,0,0,0,0.0031476,0.0031643,
638143199133368208,0,0,0,0,0,0,0,0,0.0031487,0.0031643,
638143199133368391,0,0,0,0,0,0,0,0,0.0031492,0.0031643,
638143199133368683,0,0,0,0,0,0,0,0,0.0031492,0.0031643,
638143199133369065,0,0,0,0,0,0,0,0,0.0031492,0.0031643,
638143199133369362,0,0,0,0,0,0,0,0,0.0031492,0.0031643,
638143199133369710,0,0,0,0,0,0,0,0,0.0031492,0.0031643,
638143199133369998,0,0,0,0,0,0,0,0,0.0031492,0.0031643,
638143199133370298,0,0,0,0,0,0,0,0,0.0031492,0.0031643,
638143199133370592,0,0,0,0,0,0,0,0,0.0031492,0.0031643,
638143199133370870,0,0,0,0,0,0,0,0,0.0031492,0.0031643,
638143199133371144,0,0,0,0,0,0,0,0,0.0031492,0.0031643,
638143199133371414,0,0,0,0,0,0,0,0,0.0031492,0.0031643,
638143199133371696,0,0,0,0,0,0,0,0,0.0031492,0.0031643,
638143199133371992,0,0,0,0,0,0,0,0,0.0031492,0.0031643,
638143199133372292,0,0,0,0,0,0,0,0,0.0031492,0.0031643,
638143199133372588,0,0,0,0,0,0,0,0,0.0031492,0.0031643,
638143199133372859,0,0,0,0,0,0,0,0,0.0031492,0.0031643,
638143199138282338,0,0,0,0,0,0,0,0,0.0031492,0.0031643,
638143199138334541,0,0,0,0,0,0,0,0,0.0031492,0.0031643,
638143199151219924,0,0,0,0,0,0,0,0,0.0031492,0.0031638,
638143199156318648,0,0,0,0,0,0,0,0,0.0031492,0.0031638,
638143199179357672,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199181020574,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199187208600,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199188589958,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199188611169,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199194605919,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199194619635,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199198670998,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199201126788,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199205720653,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199212292798,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199218704628,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199225215580,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199230750813,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199236756621,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199243280703,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199248691341,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199253686177,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199259427483,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199261505541,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199267574475,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199272691665,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199278081178,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199283739889,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199288747472,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199294008265,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199300869569,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199306671047,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
