time,binanceADABTCbidMax,binanceADABTCsellMin,nicehashADABTCbidMax,nicehashADABTCsellMin,okxADABTCADA-BTCbidMax,okxADABTCADA-BTCsellMin,bitstampADABTCbidMax,bitstampADABTCsellMin,cryptoADABTCbidMax,cryptoADABTCsellMin,
638143199077035134,0,0,0,0,0,0,0,0,1.4425E-05,0,
638143199077037931,0,0,0,0,0,0,0,0,1.4425E-05,0,
638143199077038896,0,0,0,0,0,0,0,0,1.4425E-05,0,
638143199077040147,0,0,0,0,0,0,0,0,1.4425E-05,0,
638143199077173071,0,0,0,0,0,0,0,0,1.4425E-05,1.4605E-05,
638143199077175583,0,0,0,0,0,0,0,0,1.4425E-05,1.4559E-05,
638143199077176476,0,0,0,0,0,0,0,0,1.4425E-05,1.4559E-05,
638143199077178337,0,0,0,0,0,0,0,0,1.4425E-05,1.4513E-05,
638143199077179072,0,0,0,0,0,0,0,0,1.4425E-05,1.4513E-05,
638143199077181291,0,0,0,0,0,0,0,0,1.4425E-05,1.4454E-05,
638143199077182908,0,0,0,0,0,0,0,0,1.4425E-05,1.4454E-05,
638143199077184218,0,0,0,0,0,0,0,0,1.4425E-05,1.4444E-05,
638143199077184564,0,0,0,0,0,0,0,0,1.4425E-05,1.4444E-05,
638143199082483877,0,0,0,0,0,0,0,0,1.4425E-05,1.4444E-05,
638143199082566515,0,0,0,0,0,0,0,0,1.4425E-05,1.4444E-05,
638143199085069434,0,0,0,0,0,0,0,0,1.4425E-05,1.4444E-05,
638143199085077639,0,0,0,0,0,0,0,0,1.4425E-05,1.4444E-05,
638143199090292913,0,0,0,0,0,0,0,0,1.4425E-05,1.4444E-05,
638143199090321357,0,0,0,0,0,0,0,0,1.4425E-05,1.4444E-05,
638143199096145370,0,0,0,0,0,0,0,0,1.4425E-05,1.4444E-05,
638143199096182813,0,0,0,0,0,0,0,0,1.4425E-05,1.4444E-05,
638143199097447374,0,0,0,0,0,0,0,0,1.4425E-05,1.4444E-05,
638143199097513559,0,0,0,0,0,0,0,0,1.4425E-05,1.4444E-05,
638143199103017775,0,0,0,0,0,0,0,0,1.4425E-05,1.4444E-05,
638143199103025892,0,0,0,0,0,0,0,0,1.4425E-05,1.4444E-05,
638143199104372425,0,0,0,0,0,0,0,0,1.4425E-05,1.4444E-05,
638143199104420541,0,0,0,0,0,0,0,0,1.4425E-05,1.4444E-05,
638143199105943069,0,0,0,0,0,0,0,0,1.4425E-05,1.4444E-05,
638143199105951757,0,0,0,0,0,0,0,0,1.4425E-05,1.4444E-05,
638143199111421211,0,0,0,0,0,0,0,0,1.4425E-05,1.4444E-05,
638143199111506979,0,0,0,0,0,0,0,0,1.4425E-05,1.4444E-05,
638143199116941176,0,0,0,0,0,0,0,0,1.4425E-05,1.4444E-05,
638143199116957591,0,0,0,0,0,0,0,0,1.4425E-05,1.4444E-05,
638143199122324648,0,0,0,0,0,0,0,0,1.4425E-05,1.4444E-05,
638143199122325663,0,0,0,0,0,0,0,0,1.4425E-05,1.4444E-05,
638143199127675035,0,0,0,0,0,0,0,0,1.4425E-05,1.4444E-05,
638143199127797135,0,0,0,0,0,0,0,0,1.4425E-05,1.4444E-05,
638143199133951151,0,0,0,0,0,0,0,0,1.4425E-05,1.4444E-05,
638143199133953786,0,0,0,0,0,0,0,0,1.4425E-05,1.4444E-05,
638143199140237329,0,0,0,0,0,0,0,0,1.4425E-05,1.4444E-05,
638143199140238265,0,0,0,0,0,0,0,0,1.4425E-05,1.4444E-05,
638143199141555959,0,0,0,0,0,0,0,0,1.4425E-05,1.4444E-05,
638143199141613934,0,0,0,0,0,0,0,0,1.4433E-05,1.4444E-05,
638143199143753236,0,0,0,0,0,0,0,0,1.4433E-05,1.4444E-05,
638143199153935297,0,0,0,0,0,0,0,0,1.4433E-05,1.4444E-05,
638143199159847043,0,0,0,0,0,0,0,0,1.4433E-05,1.4444E-05,
638143199166143638,0,0,0,0,0,0,0,0,1.4433E-05,1.4444E-05,
638143199169055403,0,0,0,0,0,0,0,0,1.4433E-05,1.4444E-05,
638143199175180466,0,0,0,0,0,0,0,0,1.4433E-05,1.4444E-05,
638143199181886307,0,0,0,0,0,0,0,0,1.4433E-05,1.4444E-05,
638143199187894274,0,0,0,0,0,0,0,0,1.4433E-05,1.4444E-05,
638143199193838764,0,0,0,0,0,0,0,0,1.4433E-05,1.4444E-05,
638143199199907370,0,0,0,0,0,0,0,0,1.4433E-05,1.4444E-05,
638143199201128384,0,0,0,0,0,0,0,0,1.4433E-05,1.4444E-05,
638143199203520509,0,0,0,0,0,0,0,0,1.4433E-05,1.4444E-05,
638143199203521118,0,0,0,0,0,0,0,0,1.4435E-05,1.4444E-05,
638143199203565963,0,0,0,0,0,0,0,0,1.4435E-05,1.4444E-05,
638143199209157943,0,0,0,0,0,0,0,0,1.4435E-05,1.4444E-05,
638143199209376051,0,0,0,0,0,0,0,0,1.4435E-05,1.4444E-05,
638143199210966455,0,0,0,0,0,0,0,0,1.4435E-05,1.4444E-05,
638143199212198096,0,0,0,0,0,0,0,0,1.4435E-05,1.4444E-05,
638143199213507112,0,0,0,0,0,0,0,0,1.4435E-05,1.4444E-05,
638143199218872666,0,0,0,0,0,0,0,0,1.4435E-05,1.4444E-05,
638143199224220936,0,0,0,0,0,0,0,0,1.4435E-05,1.4444E-05,
638143199229616703,0,0,0,0,0,0,0,0,1.4435E-05,1.4444E-05,
638143199233802990,0,0,0,0,0,0,0,0,1.4435E-05,1.4444E-05,
638143199236538723,0,0,0,0,0,0,0,0,1.4435E-05,1.4444E-05,
638143199241671677,0,0,0,0,0,0,0,0,1.4435E-05,1.4444E-05,
638143199247339278,0,0,0,0,0,0,0,0,1.4435E-05,1.4444E-05,
638143199252389858,0,0,0,0,0,0,0,0,1.4435E-05,1.4444E-05,
638143199255368769,0,0,0,0,0,0,0,0,1.4435E-05,1.4444E-05,
638143199261062263,0,0,0,0,0,0,0,0,1.4435E-05,1.4444E-05,
638143199267039756,0,0,0,0,0,0,0,0,1.4435E-05,1.4444E-05,
638143199272938410,0,0,0,0,0,0,0,0,1.4435E-05,1.4444E-05,
638143199278396765,0,0,0,0,0,0,0,0,1.4435E-05,1.4444E-05,
638143199282701974,0,0,0,0,0,0,0,0,1.4435E-05,1.4444E-05,
638143199288055235,0,0,0,0,0,0,0,0,1.4435E-05,1.4444E-05,
638143199293908761,0,0,0,0,0,0,0,0,1.4435E-05,1.4444E-05,
638143199298994854,0,0,0,0,0,0,0,0,1.4435E-05,1.4444E-05,
638143199304333997,0,0,0,0,0,0,0,0,1.4435E-05,1.4444E-05,
638143199309686950,0,0,0,0,0,0,0,0,1.4435E-05,1.4444E-05,
638143199314972122,0,0,0,0,0,0,0,0,1.4435E-05,1.4444E-05,
638143199320852142,0,0,0,0,0,0,0,0,1.4435E-05,1.4444E-05,
638143199326151187,0,0,0,0,0,0,0,0,1.4435E-05,1.4444E-05,
638143199331790519,0,0,0,0,0,0,0,0,1.4435E-05,1.4444E-05,
638143199337733438,0,0,0,0,0,0,0,0,1.4435E-05,1.4444E-05,
638143199343110736,0,0,0,0,0,0,0,0,1.4435E-05,1.4444E-05,
638143199348025178,0,0,0,0,0,0,0,0,1.4435E-05,1.4444E-05,
638143199353875356,0,0,0,0,0,0,0,0,1.4435E-05,1.4444E-05,
638143199359666394,0,0,0,0,0,0,0,0,1.4435E-05,1.4444E-05,
638143199361379976,0,0,0,0,0,0,0,0,1.4435E-05,1.4444E-05,
638143199362368604,0,0,0,0,0,0,0,0,1.4435E-05,1.4444E-05,
638143199365723011,0,0,0,1.447E-05,0,0,0,0,1.4435E-05,1.4444E-05,
638143199367763330,0,0,0,1.447E-05,0,0,0,0,1.4435E-05,1.4444E-05,
638143199368070536,0,0,0,1.446E-05,0,0,0,0,1.4435E-05,1.4444E-05,
638143199368071072,0,0,0,1.446E-05,0,0,0,0,1.4435E-05,1.4444E-05,
638143199373358827,0,0,0,1.446E-05,0,0,0,0,1.4435E-05,1.4444E-05,
638143199379218755,0,0,0,1.446E-05,0,0,0,0,1.4435E-05,1.4444E-05,
638143199385346037,0,0,0,1.446E-05,0,0,0,0,1.4435E-05,1.4444E-05,
638143199390941128,0,0,0,1.446E-05,0,0,0,0,1.4435E-05,1.4444E-05,
638143199394036532,0,0,0,1.446E-05,0,0,0,0,1.4435E-05,1.4444E-05,
638143199394139873,0,0,0,1.446E-05,0,0,0,1.447E-05,1.4435E-05,1.4444E-05,
