time,binanceADAUSDTbidMax,binanceADAUSDTsellMin,nicehashADAUSDTbidMax,nicehashADAUSDTsellMin,okxADAUSDTADA-USDTbidMax,okxADAUSDTADA-USDTsellMin,krakenADAUSDTbidMax,krakenADAUSDTsellMin,cryptoADAUSDTbidMax,cryptoADAUSDTsellMin,
638143198799430500,0,0,0,0,0,0,0,0,0.34598,0,
638143198799437053,0,0,0,0,0,0,0,0,0.34598,0,
638143198799476990,0,0,0,0,0,0,0,0,0.34598,0.34629,
638143198799478880,0,0,0,0,0,0,0,0,0.34598,0.34629,
638143198799479808,0,0,0,0,0,0,0,0,0.34598,0.34629,
638143198801468034,0,0,0,0,0,0,0,0,0.34598,0.34629,
638143198801538768,0,0,0,0,0,0,0,0,0.34598,0.34629,
638143198801887602,0,0,0,0,0,0,0,0,0.34598,0.34629,
638143198801994947,0,0,0,0,0,0,0,0,0.34598,0.34629,
638143198803433246,0,0,0,0,0,0,0,0,0.34598,0.34629,
638143198803476404,0,0,0,0,0,0,0,0,0.34598,0.34629,
638143198804848020,0,0,0,0,0,0,0,0,0.34598,0.34629,
638143198806209343,0,0,0,0,0,0,0,0,0.34598,0.34624,
638143198806209963,0,0,0,0,0,0,0,0,0.34598,0.34623,
638143198806210818,0,0,0,0,0,0,0,0,0.34598,0.34623,
638143198807627742,0,0,0,0,0,0,0,0,0.34598,0.34623,
638143198822146655,0,0,0,0,0,0,0,0,0.34598,0.34615,
638143198822147208,0,0,0,0,0,0,0,0,0.34598,0.34615,
638143198822147564,0,0,0,0,0,0,0,0,0.34598,0.34615,
638143198824046913,0,0,0,0,0,0,0,0,0.34598,0.34615,
638143198824917090,0,0,0,0,0,0,0,0,0.34598,0.34614,
638143198826649174,0,0,0,0,0,0,0,0,0.34598,0.34614,
638143198829377428,0,0,0,0,0,0,0,0,0.34598,0.34612,
638143198829377928,0,0,0,0,0,0,0,0,0.34598,0.34612,
638143198838052637,0,0,0,0,0,0,0,0,0.34598,0.34612,
638143198839533941,0,0,0,0,0,0,0,0,0.34598,0.34612,
638143198843809743,0,0,0,0,0,0,0,0,0.34598,0.34612,
638143198844890013,0,0,0,0,0,0,0,0,0.34598,0.34612,
638143198888418265,0,0,0,0,0,0,0,0,0.34601,0.34612,
638143198889952532,0,0,0,0,0,0,0,0,0.34601,0.34612,
638143198893313207,0,0,0,0,0,0,0,0,0.34601,0.34612,
