time,binanceBCHBTCbidMax,binanceBCHBTCsellMin,nicehashBCHBTCbidMax,nicehashBCHBTCsellMin,okxBCHBTCBCH-BTCbidMax,okxBCHBTCBCH-BTCsellMin,bitstampBCHBTCbidMax,bitstampBCHBTCsellMin,cryptoBCHBTCbidMax,cryptoBCHBTCsellMin,
638143199045306916,0,0,0,0,0,0,0,0,0,0.0096042,
638143199045309088,0,0,0,0,0,0,0,0,0,0.0096042,
638143199045309879,0,0,0,0,0,0,0,0,0,0.009333,
638143199045310663,0,0,0,0,0,0,0,0,0,0.0070271,
638143199045311585,0,0,0,0,0,0,0,0,0,0.0065941,
638143199045312281,0,0,0,0,0,0,0,0,0,0.0065941,
638143199045313056,0,0,0,0,0,0,0,0,0,0.00633,
638143199045313755,0,0,0,0,0,0,0,0,0,0.00599,
638143199045314532,0,0,0,0,0,0,0,0,0,0.00599,
638143199045315237,0,0,0,0,0,0,0,0,0,0.0057669,
638143199045315945,0,0,0,0,0,0,0,0,0,0.0055968,
638143199045317485,0,0,0,0,0,0,0,0,0,0.0053636,
638143199045317825,0,0,0,0,0,0,0,0,0,0.0053636,
638143199045318101,0,0,0,0,0,0,0,0,0,0.0053452,
638143199045318363,0,0,0,0,0,0,0,0,0,0.005336,
638143199045318720,0,0,0,0,0,0,0,0,0,0.005336,
638143199045319057,0,0,0,0,0,0,0,0,0,0.005336,
638143199045319488,0,0,0,0,0,0,0,0,0,0.005336,
638143199045319807,0,0,0,0,0,0,0,0,0,0.005336,
638143199045320109,0,0,0,0,0,0,0,0,0,0.005336,
638143199045320433,0,0,0,0,0,0,0,0,0,0.005336,
638143199045320754,0,0,0,0,0,0,0,0,0,0.005336,
638143199045321093,0,0,0,0,0,0,0,0,0,0.005336,
638143199045321369,0,0,0,0,0,0,0,0,0,0.0053084,
638143199045321677,0,0,0,0,0,0,0,0,0,0.0053084,
638143199045321944,0,0,0,0,0,0,0,0,0,0.0053084,
638143199045322340,0,0,0,0,0,0,0,0,0,0.0053084,
638143199045322651,0,0,0,0,0,0,0,0,0,0.0053084,
638143199045322979,0,0,0,0,0,0,0,0,0,0.0053084,
638143199045323299,0,0,0,0,0,0,0,0,0,0.0053084,
638143199045323586,0,0,0,0,0,0,0,0,0,0.0053084,
638143199045323925,0,0,0,0,0,0,0,0,0,0.0053084,
638143199045324549,0,0,0,0,0,0,0,0,0,0.00529,
638143199045324880,0,0,0,0,0,0,0,0,0.003285,0.0052892,
638143199045325248,0,0,0,0,0,0,0,0,0.003285,0.0052892,
638143199045325574,0,0,0,0,0,0,0,0,0.003285,0.0052892,
638143199045325953,0,0,0,0,0,0,0,0,0.003285,0.0052892,
638143199045326285,0,0,0,0,0,0,0,0,0.0036754,0.0052892,
638143199045326670,0,0,0,0,0,0,0,0,0.0041078,0.0052892,
638143199045327115,0,0,0,0,0,0,0,0,0.004194,0.0052892,
638143199045327378,0,0,0,0,0,0,0,0,0.005198,0.0052892,
638143199045328259,0,0,0,0,0,0,0,0,0.0052072,0.0052892,
638143199045328597,0,0,0,0,0,0,0,0,0.0052072,0.0052892,
638143199045328889,0,0,0,0,0,0,0,0,0.0052072,0.0052892,
638143199045329238,0,0,0,0,0,0,0,0,0.0052072,0.0052892,
638143199045329820,0,0,0,0,0,0,0,0,0.0052349,0.0052892,
638143199045330064,0,0,0,0,0,0,0,0,0.005245,0.0052892,
638143199045330462,0,0,0,0,0,0,0,0,0.005255,0.0052892,
638143199045330890,0,0,0,0,0,0,0,0,0.005255,0.0052892,
638143199045331458,0,0,0,0,0,0,0,0,0.005255,0.0052892,
638143199045331827,0,0,0,0,0,0,0,0,0.0052555,0.0052892,
638143199045332148,0,0,0,0,0,0,0,0,0.0052555,0.0052892,
638143199045333792,0,0,0,0,0,0,0,0,0.0052607,0.0052892,
638143199045334160,0,0,0,0,0,0,0,0,0.0052607,0.0052892,
638143199045334677,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199051427578,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199051538865,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199057394539,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199057405030,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199063071217,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199063079339,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199069321432,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199069329865,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199075185485,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199075192591,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199080763723,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199080771500,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199086794806,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199086806164,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199092960690,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199092972578,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199098775802,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199101941342,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199104662758,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199110507187,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199113079327,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199114464280,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199119901773,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199125453944,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199130673201,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199135801767,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199141218432,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199143872597,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199146508841,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199152385094,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199157300965,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199162602198,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199167768794,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199172994857,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199178060583,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199183495852,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199189148207,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199194761205,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199199977498,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199201358293,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199206714566,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199212267041,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199217225052,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199222423460,0,0,0,0,0,0,0,0,0.005262,0.0052892,
638143199227395424,0,0,0,0,0,0,0,0,0.005262,0.0052892,
