time,binanceETHBTCbidMax,binanceETHBTCsellMin,nicehashETHBTCbidMax,nicehashETHBTCsellMin,okxETHBTCETH-BTCbidMax,okxETHBTCETH-BTCsellMin,bitstampETHBTCbidMax,bitstampETHBTCsellMin,cryptoETHBTCbidMax,cryptoETHBTCsellMin,
638143199263235869,0,0,0,0,0,0,0,0,0,0.076621,
638143199263238454,0,0,0,0,0,0,0,0,0,0.076621,
638143199263239405,0,0,0,0,0,0,0,0,0,0.0762,
638143199263240359,0,0,0,0,0,0,0,0,0,0.0762,
638143199263241091,0,0,0,0,0,0,0,0,0,0.075892,
638143199263242139,0,0,0,0,0,0,0,0,0,0.0754,
638143199263242997,0,0,0,0,0,0,0,0,0,0.0754,
638143199263244175,0,0,0,0,0,0,0,0,0,0.07456,
638143199263264656,0,0,0,0,0,0,0,0,0,0.074,
638143199263265456,0,0,0,0,0,0,0,0,0,0.073902,
638143199263266309,0,0,0,0,0,0,0,0,0,0.0739,
638143199263268178,0,0,0,0,0,0,0,0,0,0.0739,
638143199263268558,0,0,0,0,0,0,0,0,0,0.073876,
638143199263269009,0,0,0,0,0,0,0,0,0,0.073876,
638143199263269385,0,0,0,0,0,0,0,0,0,0.0736,
638143199263269781,0,0,0,0,0,0,0,0,0,0.073232,
638143199263270085,0,0,0,0,0,0,0,0,0,0.073232,
638143199263270428,0,0,0,0,0,0,0,0,0,0.073,
638143199263270697,0,0,0,0,0,0,0,0,0,0.072855,
638143199263271223,0,0,0,0,0,0,0,0,0,0.072337,
638143199263271797,0,0,0,0,0,0,0,0,0,0.072337,
638143199263272110,0,0,0,0,0,0,0,0,0,0.072337,
638143199263272481,0,0,0,0,0,0,0,0,0,0.072056,
638143199263272881,0,0,0,0,0,0,0,0,0,0.072,
638143199263273138,0,0,0,0,0,0,0,0,0,0.071972,
638143199263273338,0,0,0,0,0,0,0,0,0,0.071811,
638143199263273715,0,0,0,0,0,0,0,0,0,0.071511,
638143199263274054,0,0,0,0,0,0,0,0,0,0.0715,
638143199263274516,0,0,0,0,0,0,0,0,0,0.071446,
638143199263274817,0,0,0,0,0,0,0,0,0,0.071446,
638143199263275157,0,0,0,0,0,0,0,0,0,0.071133,
