time,binanceETHUSDTbidMax,binanceETHUSDTsellMin,nicehashETHUSDTbidMax,nicehashETHUSDTsellMin,okxETHUSDTETH-USDTbidMax,okxETHUSDTETH-USDTsellMin,bitstampETHUSDTbidMax,bitstampETHUSDTsellMin,krakenETHUSDTbidMax,krakenETHUSDTsellMin,cryptoETHUSDTbidMax,cryptoETHUSDTsellMin,
638143199321422767,0,0,0,0,0,0,0,0,0,0,0,1742.1,
638143199321424705,0,0,0,0,0,0,0,0,0,0,0,1739.77,
638143199321426497,0,0,0,0,0,0,0,0,0,0,0,1732.06,
638143199321427485,0,0,0,0,0,0,0,0,0,0,0,1732.06,
638143199321428480,0,0,0,0,0,0,0,0,0,0,0,1727.47,
638143199321429366,0,0,0,0,0,0,0,0,0,0,0,1723.1,
638143199321430252,0,0,0,0,0,0,0,0,0,0,0,1723.1,
638143199321431296,0,0,0,0,0,0,0,0,0,0,0,1721.33,
638143199321432114,0,0,0,0,0,0,0,0,0,0,0,1720.23,
638143199321434218,0,0,0,0,0,0,0,0,0,0,0,1717.14,
638143199321434631,0,0,0,0,0,0,0,0,0,0,0,1717.14,
638143199321435003,0,0,0,0,0,0,0,0,0,0,0,1715.2,
638143199321435327,0,0,0,0,0,0,0,0,0,0,0,1715.2,
638143199321435657,0,0,0,0,0,0,0,0,0,0,0,1715.2,
638143199321436066,0,0,0,0,0,0,0,0,0,0,0,1715.2,
638143199321436450,0,0,0,0,0,0,0,0,0,0,0,1715.2,
638143199321436905,0,0,0,0,0,0,0,0,0,0,0,1714.28,
638143199321437305,0,0,0,0,0,0,0,0,0,0,0,1714.28,
638143199321437772,0,0,0,0,0,0,0,0,0,0,0,1714.28,
638143199321438105,0,0,0,0,0,0,0,0,0,0,0,1714.28,
638143199321438459,0,0,0,0,0,0,0,0,0,0,0,1714.28,
638143199321438844,0,0,0,0,0,0,0,0,0,0,0,1713.65,
638143199321439222,0,0,0,0,0,0,0,0,0,0,0,1711,
638143199321439521,0,0,0,0,0,0,0,0,0,0,0,1707.36,
638143199321439970,0,0,0,0,0,0,0,0,0,0,0,1707.36,
638143199321440399,0,0,0,0,0,0,0,0,0,0,0,1707.36,
638143199321440820,0,0,0,0,0,0,0,0,0,0,0,1701.64,
638143199321441590,0,0,0,0,0,0,0,0,0,0,0,1701.64,
638143199321441960,0,0,0,0,0,0,0,0,0,0,0,1701.64,
638143199321442288,0,0,0,0,0,0,0,0,0,0,0,1701.64,
638143199321442648,0,0,0,0,0,0,0,0,0,0,0,1701.64,
638143199321443086,0,0,0,0,0,0,0,0,0,0,0,1699.83,
638143199321443583,0,0,0,0,0,0,0,0,0,0,0,1699.83,
638143199321444150,0,0,0,0,0,0,0,0,0,0,0,1699.83,
638143199321444818,0,0,0,0,0,0,0,0,0,0,0,1692.72,
638143199321445191,0,0,0,0,0,0,0,0,0,0,0,1692.72,
638143199321445550,0,0,0,0,0,0,0,0,0,0,0,1692.72,
638143199321445935,0,0,0,0,0,0,0,0,0,0,0,1692.72,
638143199321446924,0,0,0,0,0,0,0,0,0,0,0,1685,
638143199321447296,0,0,0,0,0,0,0,0,0,0,0,1683.88,
638143199321447739,0,0,0,0,0,0,0,0,0,0,0,1683.88,
638143199321448170,0,0,0,0,0,0,0,0,0,0,0,1683.88,
638143199321448569,0,0,0,0,0,0,0,0,0,0,0,1680,
638143199321449023,0,0,0,0,0,0,0,0,0,0,0,1678.08,
638143199321449382,0,0,0,0,0,0,0,0,0,0,0,1678.08,
638143199321450913,0,0,0,0,0,0,0,0,0,0,0,1672.82,
638143199321451273,0,0,0,0,0,0,0,0,0,0,0,1672.82,
638143199321451603,0,0,0,0,0,0,0,0,0,0,0,1672.82,
638143199321451975,0,0,0,0,0,0,0,0,0,0,0,1672.82,
638143199321452820,0,0,0,0,0,0,0,0,0,0,0,1669.07,
638143199321453198,0,0,0,0,0,0,0,0,0,0,0,1669.06,
638143199321453559,0,0,0,0,0,0,0,0,0,0,0,1669.06,
638143199321453979,0,0,0,0,0,0,0,0,0,0,0,1669.06,
638143199321454690,0,0,0,0,0,0,0,0,0,0,0,1668.26,
638143199321455001,0,0,0,0,0,0,0,0,0,0,0,1668.26,
638143199321457164,0,0,0,0,0,0,0,0,0,0,0,1666.98,
638143199321457542,0,0,0,0,0,0,0,0,0,0,0,1666.64,
638143199321458215,0,0,0,0,0,0,0,0,0,0,0,1666.64,
638143199321458573,0,0,0,0,0,0,0,0,0,0,0,1666.64,
638143199321458972,0,0,0,0,0,0,0,0,0,0,0,1666.1,
638143199321459314,0,0,0,0,0,0,0,0,0,0,0,1666.1,
638143199321460920,0,0,0,0,0,0,0,0,0,0,0,1665.21,
638143199321461426,0,0,0,0,0,0,0,0,0,0,0,1665.05,
638143199321461851,0,0,0,0,0,0,0,0,0,0,0,1665.05,
638143199321462219,0,0,0,0,0,0,0,0,0,0,0,1665.05,
638143199321462604,0,0,0,0,0,0,0,0,0,0,0,1665.05,
638143199321462892,0,0,0,0,0,0,0,0,0,0,1486.66,1664.68,
638143199321463409,0,0,0,0,0,0,0,0,0,0,1486.66,1664.68,
638143199321464040,0,0,0,0,0,0,0,0,0,0,1486.66,1664.68,
638143199321464469,0,0,0,0,0,0,0,0,0,0,1486.66,1664.68,
638143199321465165,0,0,0,0,0,0,0,0,0,0,1505,1664.68,
638143199321465551,0,0,0,0,0,0,0,0,0,0,1505,1664.68,
638143199321466274,0,0,0,0,0,0,0,0,0,0,1505,1664.68,
638143199321466633,0,0,0,0,0,0,0,0,0,0,1505,1664.68,
638143199321466997,0,0,0,0,0,0,0,0,0,0,1505,1664.68,
638143199321467682,0,0,0,0,0,0,0,0,0,0,1505,1664.68,
638143199321469044,0,0,0,0,0,0,0,0,0,0,1511.42,1664.68,
638143199321469442,0,0,0,0,0,0,0,0,0,0,1516.66,1664.68,
638143199321470106,0,0,0,0,0,0,0,0,0,0,1516.66,1664.68,
638143199321470558,0,0,0,0,0,0,0,0,0,0,1516.66,1664.68,
638143199321471097,0,0,0,0,0,0,0,0,0,0,1521.42,1664.68,
638143199321471499,0,0,0,0,0,0,0,0,0,0,1521.42,1664.68,
638143199321471833,0,0,0,0,0,0,0,0,0,0,1521.42,1664.68,
638143199321472538,0,0,0,0,0,0,0,0,0,0,1521.42,1664.68,
638143199321473160,0,0,0,0,0,0,0,0,0,0,1531.7,1664.68,
638143199321473501,0,0,0,0,0,0,0,0,0,0,1531.7,1664.68,
638143199321473838,0,0,0,0,0,0,0,0,0,0,1531.7,1664.68,
638143199321474148,0,0,0,0,0,0,0,0,0,0,1531.7,1664.68,
638143199321475013,0,0,0,0,0,0,0,0,0,0,1537.14,1664.68,
638143199321475416,0,0,0,0,0,0,0,0,0,0,1537.14,1664.68,
638143199321475753,0,0,0,0,0,0,0,0,0,0,1537.14,1664.68,
638143199321476111,0,0,0,0,0,0,0,0,0,0,1537.14,1664.68,
638143199321476483,0,0,0,0,0,0,0,0,0,0,1537.14,1664.68,
638143199321477088,0,0,0,0,0,0,0,0,0,0,1543.03,1664.68,
638143199321477380,0,0,0,0,0,0,0,0,0,0,1548.02,1664.68,
638143199321477763,0,0,0,0,0,0,0,0,0,0,1548.02,1664.68,
638143199321478074,0,0,0,0,0,0,0,0,0,0,1548.02,1664.68,
638143199321478463,0,0,0,0,0,0,0,0,0,0,1548.02,1664.68,
638143199321478882,0,0,0,0,0,0,0,0,0,0,1548.02,1664.68,
638143199321479184,0,0,0,0,0,0,0,0,0,0,1558.44,1664.68,
638143199321479521,0,0,0,0,0,0,0,0,0,0,1558.44,1664.68,
638143199321481128,0,0,0,0,0,0,0,0,0,0,1562.85,1664.68,
638143199321481477,0,0,0,0,0,0,0,0,0,0,1564,1664.68,
638143199321481820,0,0,0,0,0,0,0,0,0,0,1564,1664.68,
638143199321482163,0,0,0,0,0,0,0,0,0,0,1564,1664.68,
638143199321482769,0,0,0,0,0,0,0,0,0,0,1564,1664.68,
638143199321483157,0,0,0,0,0,0,0,0,0,0,1565,1664.68,
638143199321483512,0,0,0,0,0,0,0,0,0,0,1565,1664.68,
638143199321485032,0,0,0,0,0,0,0,0,0,0,1575.62,1664.68,
638143199321485498,0,0,0,0,0,0,0,0,0,0,1580,1664.68,
638143199321485952,0,0,0,0,0,0,0,0,0,0,1580,1664.68,
638143199321486430,0,0,0,0,0,0,0,0,0,0,1580,1664.68,
638143199321486849,0,0,0,0,0,0,0,0,0,0,1583.33,1664.68,
638143199321487267,0,0,0,0,0,0,0,0,0,0,1585.71,1664.68,
638143199321487620,0,0,0,0,0,0,0,0,0,0,1585.71,1664.68,
638143199321487971,0,0,0,0,0,0,0,0,0,0,1585.71,1664.68,
638143199321488506,0,0,0,0,0,0,0,0,0,0,1585.71,1664.68,
638143199321488881,0,0,0,0,0,0,0,0,0,0,1588.31,1664.68,
638143199321489310,0,0,0,0,0,0,0,0,0,0,1595,1664.68,
638143199321489701,0,0,0,0,0,0,0,0,0,0,1595,1664.68,
