time,binanceLINKBTCbidMax,binanceLINKBTCsellMin,nicehashLINKBTCbidMax,nicehashLINKBTCsellMin,okxLINKBTCLINK-BTCbidMax,okxLINKBTCLINK-BTCsellMin,bitstampLINKBTCbidMax,bitstampLINKBTCsellMin,cryptoLINKBTCbidMax,cryptoLINKBTCsellMin,
638143198887087260,0,0,0,0,0,0,0,0,0,0.000609,
638143198887089600,0,0,0,0,0,0,0,0,0,0.000609,
638143198887090608,0,0,0,0,0,0,0,0,0,0.00039053,
638143198887091347,0,0,0,0,0,0,0,0,0,0.00039053,
638143198887092685,0,0,0,0,0,0,0,0,0,0.00034452,
638143198887093652,0,0,0,0,0,0,0,0,0,0.000325,
638143198887094560,0,0,0,0,0,0,0,0,0,0.00031613,
638143198887095914,0,0,0,0,0,0,0,0,0,0.00029498,
638143198887096900,0,0,0,0,0,0,0,0,0,0.00029106,
638143198887100098,0,0,0,0,0,0,0,0,0,0.00028886,
638143198887101198,0,0,0,0,0,0,0,0,0,0.00028785,
638143198887104618,0,0,0,0,0,0,0,0,0,0.00028785,
638143198887104982,0,0,0,0,0,0,0,0,0,0.00028785,
638143198887105348,0,0,0,0,0,0,0,0,0,0.00028583,
638143198887105711,0,0,0,0,0,0,0,0,0,0.00028355,
638143198887106142,0,0,0,0,0,0,0,0,0,0.00028355,
638143198887106446,0,0,0,0,0,0,0,0,0,0.0002828,
638143198887106792,0,0,0,0,0,0,0,0,0,0.0002819,
638143198887107211,0,0,0,0,0,0,0,0,0,0.00028134,
638143198887107653,0,0,0,0,0,0,0,0,0.00019602,0.00028134,
638143198887108150,0,0,0,0,0,0,0,0,0.00019602,0.00028134,
638143198887108527,0,0,0,0,0,0,0,0,0.0002079,0.00028134,
638143198887108851,0,0,0,0,0,0,0,0,0.00021384,0.00028134,
638143198887109239,0,0,0,0,0,0,0,0,0.00021978,0.00028134,
638143198887109548,0,0,0,0,0,0,0,0,0.00022172,0.00028134,
638143198887109845,0,0,0,0,0,0,0,0,0.00026754,0.00028134,
638143198887110137,0,0,0,0,0,0,0,0,0.00026852,0.00028134,
638143198887110430,0,0,0,0,0,0,0,0,0.0002695,0.00028134,
638143198887110780,0,0,0,0,0,0,0,0,0.00027,0.00028134,
638143198887111126,0,0,0,0,0,0,0,0,0.00027048,0.00028134,
638143198887126041,0,0,0,0,0,0,0,0,0.00027146,0.00028134,
638143198887126474,0,0,0,0,0,0,0,0,0.00027244,0.00028134,
