time,binanceLTCBTCbidMax,binanceLTCBTCsellMin,nicehashLTCBTCbidMax,nicehashLTCBTCsellMin,okxLTCBTCLTC-BTCbidMax,okxLTCBTCLTC-BTCsellMin,bitstampLTCBTCbidMax,bitstampLTCBTCsellMin,cryptoLTCBTCbidMax,cryptoLTCBTCsellMin,
638143198924529047,0,0,0,0,0,0,0,0,0,0.00427,
638143198924531340,0,0,0,0,0,0,0,0,0,0.00427,
638143198924532281,0,0,0,0,0,0,0,0,0,0.0042,
638143198924533201,0,0,0,0,0,0,0,0,0,0.004182,
638143198924534078,0,0,0,0,0,0,0,0,0,0.00418,
638143198924535082,0,0,0,0,0,0,0,0,0,0.00412,
638143198924536571,0,0,0,0,0,0,0,0,0,0.0041,
638143198924537515,0,0,0,0,0,0,0,0,0,0.0040985,
638143198924538806,0,0,0,0,0,0,0,0,0,0.0040367,
638143198924539676,0,0,0,0,0,0,0,0,0,0.0040367,
638143198924540597,0,0,0,0,0,0,0,0,0,0.00396,
638143198924542544,0,0,0,0,0,0,0,0,0,0.00396,
638143198924542945,0,0,0,0,0,0,0,0,0,0.00396,
638143198924543382,0,0,0,0,0,0,0,0,0,0.0039441,
638143198924543725,0,0,0,0,0,0,0,0,0,0.00391,
638143198924544183,0,0,0,0,0,0,0,0,0,0.00391,
638143198924544600,0,0,0,0,0,0,0,0,0,0.00391,
638143198924544986,0,0,0,0,0,0,0,0,0,0.00391,
638143198924545342,0,0,0,0,0,0,0,0,0,0.00391,
638143198924545667,0,0,0,0,0,0,0,0,0,0.0038823,
638143198924546554,0,0,0,0,0,0,0,0,0,0.0038205,
638143198924546996,0,0,0,0,0,0,0,0,0,0.0038,
638143198924547430,0,0,0,0,0,0,0,0,0,0.0038,
638143198924547945,0,0,0,0,0,0,0,0,0,0.0038,
638143198924548304,0,0,0,0,0,0,0,0,0,0.0038,
638143198924548703,0,0,0,0,0,0,0,0,0,0.0037588,
638143198924549137,0,0,0,0,0,0,0,0,0,0.0037588,
638143198924549524,0,0,0,0,0,0,0,0,0,0.0037588,
638143198924549928,0,0,0,0,0,0,0,0,0,0.0036661,
