time,binanceLTCUSDTbidMax,binanceLTCUSDTsellMin,nicehashLTCUSDTbidMax,nicehashLTCUSDTsellMin,okxLTCUSDTLTC-USDTbidMax,okxLTCUSDTLTC-USDTsellMin,krakenLTCUSDTbidMax,krakenLTCUSDTsellMin,cryptoLTCUSDTbidMax,cryptoLTCUSDTsellMin,
638143199240663993,0,0,0,0,0,0,0,0,80.451,0,
638143199240666425,0,0,0,0,0,0,0,0,80.454,0,
638143199240667761,0,0,0,0,0,0,0,0,80.454,0,
638143199240669085,0,0,0,0,0,0,0,0,80.454,0,
638143199240698851,0,0,0,0,0,0,0,0,81.031,0,
638143199240700725,0,0,0,0,0,0,0,0,81.031,0,
638143199240772401,0,0,0,0,0,0,0,0,81.031,81.087,
638143199240775655,0,0,0,0,0,0,0,0,81.031,81.087,
638143199240776875,0,0,0,0,0,0,0,0,81.031,81.087,
638143199240778073,0,0,0,0,0,0,0,0,81.031,81.087,
638143199240779056,0,0,0,0,0,0,0,0,81.031,81.087,
638143199240781119,0,0,0,0,0,0,0,0,81.031,81.087,
638143199240781572,0,0,0,0,0,0,0,0,81.031,81.087,
638143199240781933,0,0,0,0,0,0,0,0,81.031,81.087,
638143199241692521,0,0,0,0,0,0,0,0,81.031,81.087,
638143199241724040,0,0,0,0,0,0,0,0,81.036,81.087,
638143199241724539,0,0,0,0,0,0,0,0,81.036,81.087,
638143199244331977,0,0,0,0,0,0,0,0,81.045,81.087,
638143199244332544,0,0,0,0,0,0,0,0,81.045,81.087,
638143199244334256,0,0,0,0,0,0,0,0,81.046,81.087,
638143199245747547,0,0,0,0,0,0,0,0,81.051,81.087,
638143199245748486,0,0,0,0,0,0,0,0,81.055,81.087,
638143199247335627,0,0,0,0,0,0,0,0,81.055,81.087,
638143199247339613,0,0,0,0,0,0,0,0,81.056,81.087,
638143199249046200,0,0,0,0,0,0,0,0,81.063,81.087,
638143199249046694,0,0,0,0,0,0,0,0,81.063,81.087,
638143199249047104,0,0,0,0,0,0,0,0,81.063,81.087,
638143199250806645,0,0,0,0,0,0,0,0,81.063,81.087,
638143199252229646,0,0,0,0,0,0,0,0,81.067,81.087,
638143199252232569,0,0,0,0,0,0,0,0,81.068,81.087,
638143199253659075,0,0,0,0,0,0,0,0,81.073,81.087,
638143199255376825,0,0,0,0,0,0,0,0,81.078,81.087,
638143199255377383,0,0,0,0,0,0,0,0,81.079,81.087,
638143199255377768,0,0,0,0,0,0,0,0,81.079,81.087,
638143199255378131,0,0,0,0,0,0,0,0,81.079,81.087,
638143199255379913,0,0,0,0,0,0,0,0,81.08,81.087,
638143199256632020,0,0,0,0,0,0,0,0,81.08,81.087,
638143199256660325,0,0,0,0,0,0,0,0,81.082,81.087,
638143199258008539,0,0,0,0,0,0,0,0,81.083,81.087,
638143199259334189,0,0,0,0,0,0,0,0,81.083,81.087,
638143199261174396,0,0,0,0,0,0,0,0,81.088,81.087,
638143199262345627,0,0,0,0,0,0,0,0,81.092,81.087,
638143199262346740,0,0,0,0,0,0,0,0,81.093,81.087,
638143199263853929,0,0,0,0,0,0,0,0,81.094,81.087,
638143199263854927,0,0,0,0,0,0,0,0,81.098,81.087,
638143199265729138,0,0,0,0,0,0,0,0,81.098,81.087,
638143199265730998,0,0,0,0,0,0,0,0,81.103,81.087,
638143199265731462,0,0,0,0,0,0,0,0,81.103,81.087,
638143199268310203,0,0,0,0,0,0,0,0,81.107,81.087,
638143199352826976,0,0,0,0,0,0,0,0,81.107,81.087,
638143199353779927,0,0,0,0,0,0,0,0,81.111,81.087,
638143199353780733,0,0,0,0,0,0,0,0,81.112,81.087,
638143199355455340,0,0,0,0,0,0,0,0,81.112,81.087,
638143199356812977,0,0,0,0,0,0,0,0,81.114,81.087,
638143199356813445,0,0,0,0,0,0,0,0,81.114,81.087,
638143199357846217,0,0,0,0,0,0,0,0,81.118,81.087,
638143199357848354,0,0,0,0,0,0,0,0,81.159,81.087,
638143199357848833,0,0,0,0,0,0,0,0,81.159,81.087,
638143199359543552,0,0,0,0,0,0,0,0,81.159,81.087,
638143199360809067,0,0,0,0,0,0,0,0,81.159,81.087,
638143199362192937,0,0,0,0,0,0,0,0,81.163,81.087,
638143199370395372,0,0,81,0,0,0,0,0,81.163,81.087,
638143199384290838,0,0,81,81.32,0,0,0,0,81.163,81.087,
638143199392523642,0,0,81,81.32,0,0,0,0,81.167,81.087,
638143199392524200,0,0,81,81.32,0,0,0,0,81.167,81.087,
638143199392525340,0,0,81,81.32,0,0,0,0,81.169,81.087,
638143199393758269,0,0,81,81.32,0,0,0,0,81.169,81.087,
638143199458939490,0,0,81,81.32,0,0,0,0,81.17,81.087,
638143199460179596,0,0,81,81.32,0,0,0,0,81.17,81.087,
638143199462373233,0,0,81,81.32,0,0,0,0,81.17,81.087,
638143199463556331,0,0,81,81.32,0,0,0,0,81.17,81.087,
638143199466497023,0,0,81,81.32,0,0,0,0,81.17,81.087,
638143199468234513,0,0,81,81.32,0,0,0,0,81.174,81.087,
638143199468236804,0,0,81,81.32,0,0,0,0,81.191,81.087,
638143199469400492,0,0,81,81.32,0,0,0,0,81.191,81.087,
638143199470963999,0,0,81,81.32,0,0,0,0,81.191,81.087,
638143199472601431,0,0,81,81.32,0,0,0,0,81.191,81.087,
638143199475029733,0,0,81,81.32,0,0,0,0,81.191,81.087,
638143199476576065,0,0,81,81.32,0,0,0,0,81.191,81.087,
638143199479377319,0,0,81,81.32,0,0,0,0,81.191,81.087,
638143199480689154,0,0,81,81.32,0,0,0,0,81.191,81.087,
638143199492922007,0,0,81,81.32,0,0,0,81.07354,81.191,81.087,
638143199492923953,0,0,81,81.32,0,0,81.32002,81.07354,81.191,81.087,
638143199493030721,0,0,81,81.32,0,0,81.32002,80.98917,81.191,81.087,
638143199512199618,0,0,81,81.32,0,0,81.36751,80.98917,81.191,81.087,
638143199522879079,0,0,81,81.3,0,0,81.36751,80.98917,81.191,81.087,
638143199525846375,0,0,81.07,81.3,0,0,81.36751,80.98917,81.191,81.087,
638143199526859656,0,0,81.07,81.3,0,0,81.37095,80.98917,81.191,81.087,
638143199533058509,0,0,81.07,81.3,0,0,81.37095,80.98917,81.191,81.087,
638143199533059450,0,0,81.07,81.3,0,0,81.37095,80.98917,81.196,81.087,
638143199533060480,0,0,81.07,81.3,0,0,81.37095,80.98917,81.197,81.087,
638143199534707380,0,0,81.07,81.3,0,0,81.37095,80.98917,81.197,81.087,
638143199534717855,0,0,81.07,81.3,0,0,81.37095,80.98917,81.202,81.087,
638143199534718446,0,0,81.07,81.3,0,0,81.37095,80.98917,81.202,81.087,
638143199535709671,0,0,81.07,81.3,0,0,81.37095,80.98917,81.206,81.087,
638143199535710465,0,0,81.07,81.3,0,0,81.37095,80.98917,81.206,81.087,
638143199535969448,0,0,81.07,81.3,0,0,81.4363,80.98917,81.206,81.087,
638143199610408899,0,0,81.02,81.3,0,0,81.4363,80.98917,81.206,81.087,
