time,binanceSHIBUSDTbidMax,binanceSHIBUSDTsellMin,nicehashSHIBUSDTbidMax,nicehashSHIBUSDTsellMin,okxSHIBUSDTSHIB-USDTbidMax,okxSHIBUSDTSHIB-USDTsellMin,krakenSHIBUSDTbidMax,krakenSHIBUSDTsellMin,cryptoSHIBUSDTbidMax,cryptoSHIBUSDTsellMin,
638143199191671377,0,0,0,0,0,0,0,0,1.0881E-05,1.3671E-05,
638143199191678046,0,0,0,0,0,0,0,0,1.0888E-05,1.3376E-05,
638143199191679029,0,0,0,0,0,0,0,0,1.0888E-05,1.3237E-05,
638143199191680836,0,0,0,0,0,0,0,0,1.0904E-05,1.3237E-05,
638143199191681981,0,0,0,0,0,0,0,0,1.0904E-05,1.3237E-05,
638143199191683091,0,0,0,0,0,0,0,0,1.0904E-05,1.3E-05,
638143199191685161,0,0,0,0,0,0,0,0,1.0904E-05,1.3E-05,
638143199191686709,0,0,0,0,0,0,0,0,1.0911E-05,1.25E-05,
638143199191687955,0,0,0,0,0,0,0,0,1.0951E-05,1.2E-05,
638143199191690870,0,0,0,0,0,0,0,0,1.0951E-05,1.2E-05,
638143199191691566,0,0,0,0,0,0,0,0,1.0951E-05,1.17E-05,
638143199191691968,0,0,0,0,0,0,0,0,1.0951E-05,1.166E-05,
638143199191692402,0,0,0,0,0,0,0,0,1.0955E-05,1.166E-05,
638143199191692908,0,0,0,0,0,0,0,0,1.0956E-05,1.166E-05,
638143199191693265,0,0,0,0,0,0,0,0,1.0956E-05,1.166E-05,
638143199191693701,0,0,0,0,0,0,0,0,1.0956E-05,1.166E-05,
638143199191694277,0,0,0,0,0,0,0,0,1.0956E-05,1.166E-05,
638143199191694720,0,0,0,0,0,0,0,0,1.0956E-05,1.166E-05,
638143199191695359,0,0,0,0,0,0,0,0,1.0956E-05,1.166E-05,
638143199191696397,0,0,0,0,0,0,0,0,1.0962E-05,1.1655E-05,
638143199191696856,0,0,0,0,0,0,0,0,1.0962E-05,1.1655E-05,
638143199191697364,0,0,0,0,0,0,0,0,1.0962E-05,1.1655E-05,
638143199191697837,0,0,0,0,0,0,0,0,1.0962E-05,1.1655E-05,
638143199191698224,0,0,0,0,0,0,0,0,1.0965E-05,1.164E-05,
638143199191698585,0,0,0,0,0,0,0,0,1.0965E-05,1.164E-05,
638143199191698953,0,0,0,0,0,0,0,0,1.0965E-05,1.164E-05,
638143199191699303,0,0,0,0,0,0,0,0,1.0965E-05,1.164E-05,
638143199191699778,0,0,0,0,0,0,0,0,1.0965E-05,1.164E-05,
638143199191700188,0,0,0,0,0,0,0,0,1.097E-05,1.163E-05,
638143199191700625,0,0,0,0,0,0,0,0,1.0974E-05,1.1625E-05,
638143199191700986,0,0,0,0,0,0,0,0,1.0974E-05,1.1625E-05,
638143199191701819,0,0,0,0,0,0,0,0,1.0974E-05,1.1625E-05,
638143199191702136,0,0,0,0,0,0,0,0,1.0974E-05,1.1615E-05,
638143199191702529,0,0,0,0,0,0,0,0,1.0974E-05,1.1615E-05,
