time,binanceSOLUSDTbidMax,binanceSOLUSDTsellMin,nicehashSOLUSDTbidMax,nicehashSOLUSDTsellMin,okxSOLUSDTSOL-USDTbidMax,okxSOLUSDTSOL-USDTsellMin,krakenSOLUSDTbidMax,krakenSOLUSDTsellMin,cryptoSOLUSDTbidMax,cryptoSOLUSDTsellMin,
638143199168999699,0,0,0,0,0,0,0,0,13.47,0,
638143199169003828,0,0,0,0,0,0,0,0,13.5,0,
638143199169004608,0,0,0,0,0,0,0,0,13.8,0,
638143199169026419,0,0,0,0,0,0,0,0,15.366,0,
638143199169027702,0,0,0,0,0,0,0,0,18.25,0,
638143199169029552,0,0,0,0,0,0,0,0,20.215,0,
638143199169030371,0,0,0,0,0,0,0,0,20.592,0,
638143199169031367,0,0,0,0,0,0,0,0,20.598,0,
638143199169032590,0,0,0,0,0,0,0,0,20.598,0,
638143199169033434,0,0,0,0,0,0,0,0,20.598,0,
638143199169034627,0,0,0,0,0,0,0,0,20.602,0,
638143199169035758,0,0,0,0,0,0,0,0,20.606,0,
638143199169037417,0,0,0,0,0,0,0,0,20.608,0,
638143199169037836,0,0,0,0,0,0,0,0,20.608,0,
638143199169038268,0,0,0,0,0,0,0,0,20.608,0,
638143199169038752,0,0,0,0,0,0,0,0,20.616,0,
638143199169039258,0,0,0,0,0,0,0,0,20.616,0,
638143199169039804,0,0,0,0,0,0,0,0,20.622,0,
638143199169040213,0,0,0,0,0,0,0,0,20.622,0,
638143199169041175,0,0,0,0,0,0,0,0,20.622,0,
638143199169041626,0,0,0,0,0,0,0,0,20.631,0,
638143199169042154,0,0,0,0,0,0,0,0,20.631,0,
638143199169042712,0,0,0,0,0,0,0,0,20.634,0,
638143199169043910,0,0,0,0,0,0,0,0,20.634,0,
638143199169044289,0,0,0,0,0,0,0,0,20.634,0,
638143199169044883,0,0,0,0,0,0,0,0,20.64,0,
638143199169045312,0,0,0,0,0,0,0,0,20.64,0,
638143199169045824,0,0,0,0,0,0,0,0,20.64,0,
638143199169046255,0,0,0,0,0,0,0,0,20.64,0,
638143199169046651,0,0,0,0,0,0,0,0,20.644,0,
638143199169047005,0,0,0,0,0,0,0,0,20.644,0,
638143199169047482,0,0,0,0,0,0,0,0,20.644,0,
638143199169047813,0,0,0,0,0,0,0,0,20.644,0,
638143199169048228,0,0,0,0,0,0,0,0,20.644,0,
638143199169048651,0,0,0,0,0,0,0,0,20.644,0,
638143199169049061,0,0,0,0,0,0,0,0,20.644,0,
638143199169049498,0,0,0,0,0,0,0,0,20.646,0,
638143199169049985,0,0,0,0,0,0,0,0,20.652,0,
638143199169050440,0,0,0,0,0,0,0,0,20.652,0,
638143199169050875,0,0,0,0,0,0,0,0,20.655,0,
638143199169051431,0,0,0,0,0,0,0,0,20.655,0,
638143199169051792,0,0,0,0,0,0,0,0,20.655,0,
638143199169052315,0,0,0,0,0,0,0,0,20.655,0,
638143199169052745,0,0,0,0,0,0,0,0,20.656,0,
638143199169053231,0,0,0,0,0,0,0,0,20.656,0,
638143199169053711,0,0,0,0,0,0,0,0,20.658,0,
638143199169054187,0,0,0,0,0,0,0,0,20.658,0,
638143199169054637,0,0,0,0,0,0,0,0,20.658,0,
638143199169055022,0,0,0,0,0,0,0,0,20.661,0,
638143199169055554,0,0,0,0,0,0,0,0,20.661,0,
638143199169056063,0,0,0,0,0,0,0,0,20.662,0,
638143199169056400,0,0,0,0,0,0,0,0,20.662,0,
638143199169058492,0,0,0,0,0,0,0,0,20.665,0,
638143199169059047,0,0,0,0,0,0,0,0,20.665,0,
638143199169059460,0,0,0,0,0,0,0,0,20.668,0,
638143199169059925,0,0,0,0,0,0,0,0,20.668,0,
638143199169060309,0,0,0,0,0,0,0,0,20.669,0,
638143199169061176,0,0,0,0,0,0,0,0,20.672,0,
638143199169061750,0,0,0,0,0,0,0,0,20.672,0,
638143199169062157,0,0,0,0,0,0,0,0,20.673,0,
638143199169062564,0,0,0,0,0,0,0,0,20.675,0,
638143199169063111,0,0,0,0,0,0,0,0,20.676,0,
638143199169065421,0,0,0,0,0,0,0,0,20.685,0,
638143199169065868,0,0,0,0,0,0,0,0,20.685,0,
638143199169098346,0,0,0,0,0,0,0,0,20.685,47.5,
638143199169098824,0,0,0,0,0,0,0,0,20.685,47.5,
638143199169101013,0,0,0,0,0,0,0,0,20.685,37.416,
638143199169101416,0,0,0,0,0,0,0,0,20.685,32,
638143199169101841,0,0,0,0,0,0,0,0,20.685,32,
638143199169102524,0,0,0,0,0,0,0,0,20.685,32,
638143199169102889,0,0,0,0,0,0,0,0,20.685,32,
638143199169103382,0,0,0,0,0,0,0,0,20.685,32,
638143199169104201,0,0,0,0,0,0,0,0,20.685,29.876,
638143199169104403,0,0,0,0,0,0,0,0,20.685,27.083,
638143199169104764,0,0,0,0,0,0,0,0,20.685,27.083,
638143199169106962,0,0,0,0,0,0,0,0,20.685,26.789,
638143199169107354,0,0,0,0,0,0,0,0,20.685,25.216,
638143199169107635,0,0,0,0,0,0,0,0,20.685,25.082,
638143199169107935,0,0,0,0,0,0,0,0,20.685,25.082,
638143199169108284,0,0,0,0,0,0,0,0,20.685,25.082,
638143199169112444,0,0,0,0,0,0,0,0,20.685,24.499,
638143199169112796,0,0,0,0,0,0,0,0,20.685,24.499,
638143199169113139,0,0,0,0,0,0,0,0,20.685,24.499,
638143199169115424,0,0,0,0,0,0,0,0,20.685,23.495,
638143199169115873,0,0,0,0,0,0,0,0,20.685,21.985,
638143199169116228,0,0,0,0,0,0,0,0,20.685,21.916,
638143199169116643,0,0,0,0,0,0,0,0,20.685,21.916,
638143199169116937,0,0,0,0,0,0,0,0,20.685,21.916,
638143199169117213,0,0,0,0,0,0,0,0,20.685,21.916,
638143199169117615,0,0,0,0,0,0,0,0,20.685,21.916,
638143199169117962,0,0,0,0,0,0,0,0,20.685,21.84,
638143199169118380,0,0,0,0,0,0,0,0,20.685,21.1,
638143199169118715,0,0,0,0,0,0,0,0,20.685,20.8,
638143199169119065,0,0,0,0,0,0,0,0,20.685,20.8,
638143199169119352,0,0,0,0,0,0,0,0,20.685,20.8,
638143199169119691,0,0,0,0,0,0,0,0,20.685,20.8,
638143199169120053,0,0,0,0,0,0,0,0,20.685,20.8,
638143199169120390,0,0,0,0,0,0,0,0,20.685,20.8,
638143199169121259,0,0,0,0,0,0,0,0,20.685,20.772,
