time,binanceUNIBTCbidMax,binanceUNIBTCsellMin,nicehashUNIBTCbidMax,nicehashUNIBTCsellMin,okxUNIBTCUNI-BTCbidMax,okxUNIBTCUNI-BTCsellMin,bitstampUNIBTCbidMax,bitstampUNIBTCsellMin,cryptoUNIBTCbidMax,cryptoUNIBTCsellMin,
638143198831683434,0,0,0,0,0,0,0,0,0,0.0003294,
638143198831685975,0,0,0,0,0,0,0,0,0,0.0003294,
638143198831687994,0,0,0,0,0,0,0,0,0,0.00025841,
638143198831688977,0,0,0,0,0,0,0,0,0,0.00025841,
638143198831689865,0,0,0,0,0,0,0,0,0,0.00025536,
638143198831691171,0,0,0,0,0,0,0,0,0,0.0002553,
638143198831692062,0,0,0,0,0,0,0,0,0,0.0002553,
638143198831693002,0,0,0,0,0,0,0,0,0,0.00025462,
638143198831693903,0,0,0,0,0,0,0,0,0.000189,0.00025447,
638143198831694713,0,0,0,0,0,0,0,0,0.000189,0.00025447,
638143198831696416,0,0,0,0,0,0,0,0,0.0001998,0.00025447,
638143198831696832,0,0,0,0,0,0,0,0,0.00025118,0.00025447,
638143198831697080,0,0,0,0,0,0,0,0,0.00025168,0.00025447,
638143198831697364,0,0,0,0,0,0,0,0,0.00025168,0.00025447,
638143198831697696,0,0,0,0,0,0,0,0,0.00025168,0.00025447,
638143198831698051,0,0,0,0,0,0,0,0,0.00025168,0.00025447,
638143198831698410,0,0,0,0,0,0,0,0,0.00025195,0.00025447,
638143198831698652,0,0,0,0,0,0,0,0,0.00025272,0.00025447,
638143198831698976,0,0,0,0,0,0,0,0,0.00025272,0.00025447,
638143198831699292,0,0,0,0,0,0,0,0,0.00025272,0.00025447,
638143198831699589,0,0,0,0,0,0,0,0,0.00025272,0.00025447,
638143198831699890,0,0,0,0,0,0,0,0,0.00025304,0.00025447,
638143198831700609,0,0,0,0,0,0,0,0,0.00025314,0.00025447,
638143198831700916,0,0,0,0,0,0,0,0,0.00025314,0.00025447,
638143198831701269,0,0,0,0,0,0,0,0,0.0002532,0.00025447,
638143198831701593,0,0,0,0,0,0,0,0,0.0002532,0.00025447,
638143198831701887,0,0,0,0,0,0,0,0,0.0002532,0.00025447,
638143198831702150,0,0,0,0,0,0,0,0,0.0002532,0.00025447,
638143198831702470,0,0,0,0,0,0,0,0,0.00025352,0.00025447,
638143198831702723,0,0,0,0,0,0,0,0,0.00025352,0.00025447,
638143198831703027,0,0,0,0,0,0,0,0,0.00025352,0.00025447,
638143198831703346,0,0,0,0,0,0,0,0,0.00025352,0.00025447,
638143198831703614,0,0,0,0,0,0,0,0,0.00025352,0.00025447,
638143198831703871,0,0,0,0,0,0,0,0,0.00025352,0.00025447,
