time,binanceXLMBTCbidMax,binanceXLMBTCsellMin,nicehashXLMBTCbidMax,nicehashXLMBTCsellMin,okxXLMBTCXLM-BTCbidMax,okxXLMBTCXLM-BTCsellMin,bitstampXLMBTCbidMax,bitstampXLMBTCsellMin,cryptoXLMBTCbidMax,cryptoXLMBTCsellMin,
638143199105920894,0,0,0,0,0,0,0,0,3.5002E-06,0,
638143199106031566,0,0,0,0,0,0,0,0,3.5002E-06,3.5358E-06,
638143199106034321,0,0,0,0,0,0,0,0,3.5002E-06,3.5171E-06,
638143199106035519,0,0,0,0,0,0,0,0,3.5002E-06,3.5171E-06,
638143199106036373,0,0,0,0,0,0,0,0,3.5002E-06,3.5113E-06,
638143199106037431,0,0,0,0,0,0,0,0,3.5002E-06,3.5113E-06,
638143199109204656,0,0,0,0,0,0,0,0,3.5002E-06,3.5113E-06,
638143199109210216,0,0,0,0,0,0,0,0,3.5002E-06,3.5113E-06,
638143199110901530,0,0,0,0,0,0,0,0,3.5002E-06,3.5113E-06,
638143199110907611,0,0,0,0,0,0,0,0,3.5002E-06,3.5113E-06,
638143199114346936,0,0,0,0,0,0,0,0,3.5002E-06,3.5113E-06,
638143199114348345,0,0,0,0,0,0,0,0,3.5002E-06,3.5113E-06,
638143199115667594,0,0,0,0,0,0,0,0,3.5002E-06,3.5113E-06,
638143199115696633,0,0,0,0,0,0,0,0,3.5002E-06,3.5113E-06,
638143199117569913,0,0,0,0,0,0,0,0,3.5002E-06,3.5113E-06,
638143199117577138,0,0,0,0,0,0,0,0,3.5004E-06,3.5113E-06,
638143199124063868,0,0,0,0,0,0,0,0,3.5004E-06,3.5113E-06,
638143199124072179,0,0,0,0,0,0,0,0,3.5004E-06,3.5113E-06,
638143199125608543,0,0,0,0,0,0,0,0,3.5004E-06,3.5113E-06,
638143199125616598,0,0,0,0,0,0,0,0,3.5004E-06,3.5113E-06,
638143199132130469,0,0,0,0,0,0,0,0,3.5004E-06,3.5113E-06,
638143199132142392,0,0,0,0,0,0,0,0,3.5004E-06,3.5113E-06,
638143199135884764,0,0,0,0,0,0,0,0,3.5004E-06,3.5113E-06,
638143199135885983,0,0,0,0,0,0,0,0,3.5004E-06,3.5113E-06,
