time,binanceXRPBTCbidMax,binanceXRPBTCsellMin,nicehashXRPBTCbidMax,nicehashXRPBTCsellMin,okxXRPBTCXRP-BTCbidMax,okxXRPBTCXRP-BTCsellMin,bitstampXRPBTCbidMax,bitstampXRPBTCsellMin,cryptoXRPBTCbidMax,cryptoXRPBTCsellMin,
638143198863703779,0,0,0,0,0,0,0,0,0,2.0008E-05,
638143198863705940,0,0,0,0,0,0,0,0,0,2.0008E-05,
638143198863707128,0,0,0,0,0,0,0,0,0,1.9024E-05,
638143198863707942,0,0,0,0,0,0,0,0,0,1.869E-05,
638143198863708717,0,0,0,0,0,0,0,0,0,1.869E-05,
638143198863709413,0,0,0,0,0,0,0,0,0,1.869E-05,
638143198863710572,0,0,0,0,0,0,0,0,0,1.5774E-05,
638143198863711636,0,0,0,0,0,0,0,0,0,1.568E-05,
638143198863712375,0,0,0,0,0,0,0,0,0,1.568E-05,
638143198863713265,0,0,0,0,0,0,0,0,0,1.5622E-05,
638143198863713980,0,0,0,0,0,0,0,0,0,1.561E-05,
638143198863715563,0,0,0,0,0,0,0,0,0,1.561E-05,
638143198863715928,0,0,0,0,0,0,0,0,0,1.5594E-05,
638143198863716212,0,0,0,0,0,0,0,0,0,1.5586E-05,
638143198863716401,0,0,0,0,0,0,0,0,0,1.5582E-05,
638143198863716587,0,0,0,0,0,0,0,0,1.0824E-05,1.5582E-05,
638143198863716767,0,0,0,0,0,0,0,0,1.1152E-05,1.5582E-05,
638143198863716948,0,0,0,0,0,0,0,0,1.148E-05,1.5582E-05,
638143198863717185,0,0,0,0,0,0,0,0,1.1808E-05,1.5582E-05,
638143198863717631,0,0,0,0,0,0,0,0,1.2136E-05,1.5582E-05,
638143198863717974,0,0,0,0,0,0,0,0,1.2296E-05,1.5582E-05,
638143198863718336,0,0,0,0,0,0,0,0,1.35E-05,1.5582E-05,
638143198863718784,0,0,0,0,0,0,0,0,1.35E-05,1.5582E-05,
638143198863719080,0,0,0,0,0,0,0,0,1.38E-05,1.5582E-05,
638143198863719334,0,0,0,0,0,0,0,0,1.4792E-05,1.5582E-05,
638143198863719608,0,0,0,0,0,0,0,0,1.4878E-05,1.5582E-05,
638143198863719928,0,0,0,0,0,0,0,0,1.505E-05,1.5582E-05,
638143198863720552,0,0,0,0,0,0,0,0,1.5136E-05,1.5582E-05,
638143198863720923,0,0,0,0,0,0,0,0,1.5136E-05,1.5582E-05,
638143198863721228,0,0,0,0,0,0,0,0,1.5136E-05,1.5582E-05,
638143198863721473,0,0,0,0,0,0,0,0,1.5279E-05,1.5582E-05,
638143198863721727,0,0,0,0,0,0,0,0,1.5378E-05,1.5582E-05,
638143198863722007,0,0,0,0,0,0,0,0,1.5411E-05,1.5582E-05,
638143198863722301,0,0,0,0,0,0,0,0,1.5444E-05,1.5582E-05,
638143198863722490,0,0,0,0,0,0,0,0,1.5444E-05,1.5582E-05,
638143198863722780,0,0,0,0,0,0,0,0,1.5444E-05,1.5582E-05,
638143198863723131,0,0,0,0,0,0,0,0,1.5505E-05,1.5582E-05,
638143198863723740,0,0,0,0,0,0,0,0,1.5505E-05,1.5582E-05,
638143198863724128,0,0,0,0,0,0,0,0,1.551E-05,1.5582E-05,
638143198863724467,0,0,0,0,0,0,0,0,1.5523E-05,1.5582E-05,
638143198863724844,0,0,0,0,0,0,0,0,1.5525E-05,1.5582E-05,
638143198863725116,0,0,0,0,0,0,0,0,1.5534E-05,1.5582E-05,
638143198863725367,0,0,0,0,0,0,0,0,1.5542E-05,1.5582E-05,
638143198863725750,0,0,0,0,0,0,0,0,1.5542E-05,1.5582E-05,
638143198863726035,0,0,0,0,0,0,0,0,1.5556E-05,1.5582E-05,
638143198863726287,0,0,0,0,0,0,0,0,1.5559E-05,1.5582E-05,
638143198863726523,0,0,0,0,0,0,0,0,1.5563E-05,1.5582E-05,
638143198863726829,0,0,0,0,0,0,0,0,1.5563E-05,1.5582E-05,
