time,binanceXRPUSDTbidMax,binanceXRPUSDTsellMin,nicehashXRPUSDTbidMax,nicehashXRPUSDTsellMin,okxXRPUSDTXRP-USDTbidMax,okxXRPUSDTXRP-USDTsellMin,bitstampXRPUSDTbidMax,bitstampXRPUSDTsellMin,krakenXRPUSDTbidMax,krakenXRPUSDTsellMin,cryptoXRPUSDTbidMax,cryptoXRPUSDTsellMin,
638143199296615547,0,0,0,0,0,0,0,0,0,0,0.3734,0,
638143199296618057,0,0,0,0,0,0,0,0,0,0,0.3734,0,
638143199296723757,0,0,0,0,0,0,0,0,0,0,0.3734,0.37369,
638143199296726791,0,0,0,0,0,0,0,0,0,0,0.3734,0.37368,
638143199298382170,0,0,0,0,0,0,0,0,0,0,0.3734,0.37368,
638143199298419273,0,0,0,0,0,0,0,0,0,0,0.3734,0.37368,
638143199302212534,0,0,0,0,0,0,0,0,0,0,0.3734,0.37368,
638143199302269922,0,0,0,0,0,0,0,0,0,0,0.3734,0.37368,
638143199303408256,0,0,0,0,0,0,0,0,0,0,0.3734,0.37367,
638143199303410958,0,0,0,0,0,0,0,0,0,0,0.3734,0.37367,
638143199303457290,0,0,0,0,0,0,0,0,0,0,0.3734,0.37367,
638143199304547281,0,0,0,0,0,0,0,0,0,0,0.3734,0.37367,
638143199304813332,0,0,0,0,0,0,0,0,0,0,0.3734,0.37367,
638143199307327011,0,0,0,0,0,0,0,0,0,0,0.3734,0.37367,
638143199307653809,0,0,0,0,0,0,0,0,0,0,0.3734,0.37365,
638143199308579783,0,0,0,0,0,0,0,0,0,0,0.3734,0.37363,
638143199308589071,0,0,0,0,0,0,0,0,0,0,0.3734,0.37363,
638143199309749479,0,0,0,0,0,0,0,0,0,0,0.3734,0.37363,
638143199309926345,0,0,0,0,0,0,0,0,0,0,0.3734,0.37363,
638143199312362180,0,0,0,0,0,0,0,0,0,0,0.3734,0.37363,
638143199312504265,0,0,0,0,0,0,0,0,0,0,0.3734,0.37362,
638143199313932977,0,0,0,0,0,0,0,0,0,0,0.3734,0.37362,
638143199314130970,0,0,0,0,0,0,0,0,0,0,0.3734,0.37361,
638143199314131843,0,0,0,0,0,0,0,0,0,0,0.3734,0.37361,
638143199317699856,0,0,0,0,0,0,0,0,0,0,0.3734,0.37361,
638143199318016251,0,0,0,0,0,0,0,0,0,0,0.3734,0.3736,
638143199320588221,0,0,0,0,0,0,0,0,0,0,0.3734,0.3736,
638143199325692598,0,0,0,0,0,0,0,0,0,0,0.3734,0.3736,
638143199331149145,0,0,0,0,0,0,0,0,0,0,0.3734,0.3736,
638143199336394826,0,0,0,0,0,0,0,0,0,0,0.3734,0.3736,
638143199340419278,0,0,0,0,0,0,0,0,0,0,0.3734,0.3736,
638143199340825256,0,0,0,0,0,0,0,0,0,0,0.3734,0.3736,
638143199343110937,0,0,0,0,0,0,0,0,0,0,0.37348,0.3736,
638143199343111473,0,0,0,0,0,0,0,0,0,0,0.37348,0.3736,
638143199343112030,0,0,0,0,0,0,0,0,0,0,0.37348,0.3736,
638143199343112584,0,0,0,0,0,0,0,0,0,0,0.37348,0.3736,
638143199344285549,0,0,0,0,0,0,0,0,0,0,0.37348,0.3736,
638143199347370850,0,0,0,0,0,0,0,0,0,0,0.37348,0.3736,
638143199348357955,0,0,0,0,0,0,0,0,0,0,0.37355,0.3736,
638143199348358597,0,0,0,0,0,0,0,0,0,0,0.37355,0.3736,
638143199348358991,0,0,0,0,0,0,0,0,0,0,0.37355,0.3736,
638143199349940341,0,0,0,0,0,0,0,0,0,0,0.37356,0.3736,
638143199349941248,0,0,0,0,0,0,0,0,0,0,0.37356,0.3736,
638143199351390521,0,0,0,0,0,0,0,0,0,0,0.37356,0.3736,
638143199352852052,0,0,0,0,0,0,0,0,0,0,0.37356,0.3736,
638143199354123102,0,0,0,0,0,0,0,0,0,0,0.37356,0.3736,
638143199355323488,0,0,0,0,0,0,0,0,0,0,0.37356,0.3736,
638143199356731539,0,0,0,0,0,0,0,0,0,0,0.37356,0.3736,
638143199358145292,0,0,0,0,0,0,0,0,0,0,0.37356,0.3736,
638143199359547957,0,0,0,0,0,0,0,0,0,0,0.37356,0.3736,
638143199364473360,0,0,0,0,0,0,0,0,0,0,0.37356,0.3736,
638143199432584726,0,0,0,0,0,0,0.37274,0,0,0,0.37356,0.3736,
638143199446247099,0,0,0,0,0,0,0.37274,0.38984,0,0,0.37356,0.3736,
638143199505113224,0,0,0,0,0,0,0.3728,0.38984,0,0,0.37356,0.3736,
638143199505699878,0,0,0,0,0,0,0.37281,0.38984,0,0,0.37356,0.3736,
638143199507145051,0,0,0,0,0,0,0.37282,0.38984,0,0,0.37356,0.3736,
638143199508155969,0,0,0,0,0,0,0.37283,0.38984,0,0,0.37356,0.3736,
638143199509288296,0,0,0,0,0,0,0.37284,0.38984,0,0,0.37356,0.3736,
638143199509288848,0,0,0,0,0,0,0.37284,0.38984,0,0,0.37356,0.3736,
638143199509907865,0,0,0,0,0,0,0.37285,0.38984,0,0,0.37356,0.3736,
638143199510958057,0,0,0,0,0,0,0.37286,0.38984,0,0,0.37356,0.3736,
638143199511774506,0,0,0,0,0,0,0.37286,0.38984,0,0.3734,0.37356,0.3736,
638143199511790270,0,0,0,0,0,0,0.37286,0.38984,0.37424,0.3734,0.37356,0.3736,
638143199511802336,0,0,0,0,0,0,0.37286,0.38984,0.37424,0.37289,0.37356,0.3736,
638143199512199549,0,0,0,0,0,0,0.37287,0.38984,0.37424,0.37289,0.37356,0.3736,
638143199524046029,0,0,0,0,0,0,0.37287,0.38984,0.37424,0.37289,0.37356,0.3736,
638143199569601652,0,0,0,0,0,0,0.37287,0.38984,0.37424,0.37289,0.37356,0.37357,
638143199620155788,0,0,0,0,0,0,0.37287,0.38984,0.37424,0.37289,0.37356,0.37357,
638143199620571670,0,0,0,0,0,0,0.37287,0.38984,0.37424,0.37289,0.37356,0.37348,
