time,binanceAAVEBTCbidMax,binanceAAVEBTCsellMin,nicehashAAVEBTCbidMax,nicehashAAVEBTCsellMin,okxAAVEBTCAAVE-BTCbidMax,okxAAVEBTCAAVE-BTCsellMin,bitstampAAVEBTCbidMax,bitstampAAVEBTCsellMin,
638140282152780684,0,0,0,0,0,0.00499,0,0,
638140282157829754,0,0,0,0,0,0.003351,0,0,
638140282157830547,0,0,0,0,0,0.003351,0,0,
638140282158768184,0,0,0,0,0,0.00499,0,0,
638140282164777792,0,0,0,0,0.003341,0.003351,0,0,
638140282164778916,0,0,0,0,0.003341,0.003351,0,0,
638140282164779757,0,0,0,0,0.003341,0.003351,0,0,
638140282208815133,0,0,0,0,0.003342,0.003351,0,0,
638140282216792506,0,0,0,0,0.003344,0.003351,0,0,
638140282222766674,0,0,0,0,0.003342,0.003351,0,0,
638140282223849498,0,0,0,0,0.003344,0.003351,0,0,
638140282256873966,0,0,0,0,0.003342,0.003351,0,0,
638140282258765660,0,0,0,0,0.003344,0.003351,0,0,
638140282267866487,0,0,0,0,0.003344,0.003352,0,0,
638140282270711710,0,0.003352,0,0,0.003344,0.003352,0,0,
638140282270875860,0,0.003352,0,0,0.003342,0.003352,0,0,
638140282278856948,0,0.003352,0,0,0.003344,0.003352,0,0,
638140282293792801,0.003326,0.003352,0,0,0.003344,0.003352,0,0,
638140282293793371,0.003326,0.003352,0,0,0.003344,0.003352,0,0,
638140282293794228,0.003327,0.003352,0,0,0.003344,0.003352,0,0,
638140282303798218,0.003348,0.003352,0,0,0.003344,0.003352,0,0,
638140282304033353,0.003348,0.003352,0,0,0.003342,0.003352,0,0,
638140282304035987,0.003348,0.003352,0,0,0.003342,0.003351,0,0,
638140282312017245,0.003348,0.00335,0,0,0.003342,0.003351,0,0,
638140282312993892,0.003348,0.00335,0,0,0.003342,0.00335,0,0,
638140282329803779,0.003348,0.00335,0,0,0.003343,0.00335,0,0,
638140282331759708,0.003348,0.00335,0,0,0.003344,0.00335,0,0,
638140282356728610,0.003348,0.00335,0.00105001,0,0.003344,0.00335,0,0,
638140282360009104,0.003348,0.00335,0.00105001,0,0.003346,0.00335,0,0,
638140282360978205,0.003348,0.00335,0.00105001,0,0.003344,0.00335,0,0,
638140282361094771,0.003348,0.00335,0.00105001,0,0.003344,0.003352,0,0,
638140282361892115,0.003348,0.00335,0.00105001,0,0.003345,0.003352,0,0,
638140282361899198,0.003348,0.00335,0.00105001,0,0.003345,0.003351,0,0,
638140282361902104,0.003348,0.00335,0.00105001,0,0.003345,0.00335,0,0,
638140282395783185,0.003348,0.003351,0.00105001,0,0.003345,0.00335,0,0,
638140282401715360,0.003348,0.00335,0.00105001,0,0.003345,0.00335,0,0,
638140282411058225,0.003348,0.003351,0.00105001,0,0.003345,0.00335,0,0,
638140282411793309,0.003348,0.00335,0.00105001,0,0.003345,0.00335,0,0,
638140282474244176,0.003348,0.003351,0.00105001,0,0.003345,0.00335,0,0,
638140282474888736,0.003348,0.00335,0.00105001,0,0.003345,0.00335,0,0,
638140282475985384,0.003348,0.003351,0.00105001,0,0.003345,0.00335,0,0,
638140282476145085,0.003348,0.003351,0.00105001,0,0.003346,0.00335,0,0,
638140282481901539,0.003349,0.003351,0.00105001,0,0.003346,0.00335,0,0,
638140282490063220,0.003349,0.003351,0.00105001,0,0.003346,0.003352,0,0,
638140282490063612,0.003349,0.003351,0.00105001,0,0.003347,0.003352,0,0,
638140282518026570,0.003349,0.003351,0.00105001,0,0.003347,0.003353,0,0,
638140282518027079,0.003349,0.003351,0.00105001,0,0.003347,0.003354,0,0,
638140282518795194,0.003349,0.003351,0.00105001,0,0.003348,0.003354,0,0,
638140282518797182,0.003349,0.003351,0.00105001,0,0.003348,0.003353,0,0,
638140282577854217,0.003349,0.00335,0.00105001,0,0.003348,0.003353,0,0,
638140282623954289,0.003349,0.003351,0.00105001,0,0.003348,0.003353,0,0,
638140282720174961,0.003349,0.00335,0.00105001,0,0.003348,0.003353,0,0,
638140282757036244,0.003349,0.003351,0.00105001,0,0.003348,0.003353,0,0,
638140282819461336,0.003349,0.003351,0,0,0.003348,0.003353,0,0,
638140282821805292,0.003349,0.003351,0.00105001,0,0.003348,0.003353,0,0,
638140282976111706,0.00335,0.003351,0.00105001,0,0.003348,0.003353,0,0,
638140283035226496,0.003349,0.003351,0.00105001,0,0.003348,0.003353,0,0,
638140283041173815,0.00335,0.003351,0.00105001,0,0.003348,0.003353,0,0,
638140283162883781,0.00335,0.003351,0.00105001,0,0.003349,0.003353,0,0,
638140283162884371,0.00335,0.003351,0.00105001,0,0.003349,0.003352,0,0,
638140283247121463,0.00335,0.003351,0.00105001,0,0.00335,0.003353,0,0,
638140283247122669,0.00335,0.003351,0.00105001,0,0.00335,0.003353,0,0,
638140283249135853,0.00335,0.003351,0.00105001,0,0.003349,0.003353,0,0,
638140283253355251,0.00335,0.003352,0.00105001,0,0.003349,0.003353,0,0,
638140283255358917,0.003351,0.003352,0.00105001,0,0.003349,0.003353,0,0,
638140283255677804,0.003351,0.003352,0.00334642,0,0.003349,0.003353,0,0,
638140283256308991,0.00335,0.003352,0.00334642,0,0.003349,0.003353,0,0,
638140283264971433,0.00335,0.003352,0.00334642,0,0.00335,0.003353,0,0,
638140283267899199,0.00335,0.003352,0.00334642,0,0.003351,0.003353,0,0,
638140283273234664,0.003351,0.003352,0.00334642,0,0.003351,0.003353,0,0,
638140283275263869,0.00335,0.003352,0.00334642,0,0.003351,0.003353,0,0,
638140283295005962,0.00335,0.003352,0.00334642,0,0.003351,0.003354,0,0,
638140283295316745,0.003351,0.003352,0.00334642,0,0.003351,0.003354,0,0,
638140283442011440,0.003351,0.003352,0.00334642,0,0.003351,0.003356,0,0,
638140283448911141,0.003351,0.003352,0.00334642,0,0.003352,0.003356,0,0,
638140283448912378,0.003351,0.003352,0.00334642,0,0.003352,0.003355,0,0,
638140283488827466,0.003351,0.003352,0.00334642,0,0.003351,0.003355,0,0,
638140283527899072,0.003351,0.003352,0.00334642,0,0.003351,0.003356,0,0,
638140283529045976,0.003351,0.003352,0.00334642,0,0.003352,0.003356,0,0,
638140283548010077,0.003351,0.003352,0.00334642,0,0.003352,0.003355,0,0,
638140283550837599,0.003351,0.003352,0.00334642,0,0.003351,0.003355,0,0,
638140283550838011,0.003351,0.003352,0.00334642,0,0.003351,0.003356,0,0,
638140283551301037,0.003352,0.003352,0.00334642,0,0.003351,0.003356,0,0,
638140283551303033,0.003352,0.003353,0.00334642,0,0.003351,0.003356,0,0,
638140283557907806,0.003352,0.003353,0.00334642,0,0.003351,0.003355,0,0,
638140283557910076,0.003352,0.003353,0.00334642,0,0.003352,0.003355,0,0,
638140283810946455,0.003352,0.003353,0.00334642,0,0.003351,0.003355,0,0,
638140283810947812,0.003352,0.003353,0.00334642,0,0.003351,0.003356,0,0,
638140283811460293,0.003353,0.003353,0.00334642,0,0.003351,0.003356,0,0,
638140283811465114,0.003353,0.003354,0.00334642,0,0.003351,0.003356,0,0,
638140283814848636,0.003353,0.003354,0.00334642,0,0.003352,0.003356,0,0,
638140283823924586,0.003353,0.003354,0.00334642,0,0.003351,0.003356,0,0,
638140283824852200,0.003353,0.003354,0.00334642,0,0.003352,0.003356,0,0,
638140284047069179,0.003353,0.003354,0.00334642,0,0.003353,0.003356,0,0,
638140284047658835,0.003354,0.003355,0.00334642,0,0.003353,0.003356,0,0,
638140284047659261,0.003354,0.003355,0.00334642,0,0.003353,0.003356,0,0,
638140284048099024,0.003354,0.003355,0.00334689,0,0.003353,0.003356,0,0,
638140284048099757,0.003354,0.003355,0.00334689,0.00335958,0.003353,0.003356,0,0,
638140284048567211,0.003354,0.003355,0.00334942,0.00335958,0.003353,0.003356,0,0,
638140284049848302,0.003354,0.003355,0.00334942,0.00335958,0.003352,0.003356,0,0,
638140284049850235,0.003354,0.003355,0.00334942,0.00335958,0.003354,0.003356,0,0,
638140284056836341,0.003354,0.003355,0.00334942,0.00335958,0.003355,0.003356,0,0,
638140284061847015,0.003354,0.003355,0.00334942,0.00335958,0.003354,0.003356,0,0,
638140284086750218,0.003354,0.003356,0.00334942,0.00335958,0.003354,0.003356,0,0,
638140284087650658,0.003355,0.003356,0.00334942,0.00335958,0.003354,0.003356,0,0,
638140284120909432,0.003355,0.003357,0.00334942,0.00335958,0.003354,0.003356,0,0,
638140284134006871,0.003355,0.003357,0.00334942,0.00335958,0.003353,0.003356,0,0,
638140284135537439,0.003355,0.003356,0.00334942,0.00335958,0.003353,0.003356,0,0,
638140284137426375,0.003355,0.003356,0.00334942,0.00335958,0.003354,0.003356,0,0,
638140284138820137,0.003354,0.003356,0.00334942,0.00335958,0.003354,0.003356,0,0,
638140284139568398,0.003355,0.003356,0.00334942,0.00335958,0.003354,0.003356,0,0,
638140284142759204,0.003354,0.003356,0.00334942,0.00335958,0.003354,0.003356,0,0,
638140284244108119,0.003354,0.003356,0.00334942,0.00335958,0.003352,0.003356,0,0,
638140284247646412,0.003354,0.003355,0.00334942,0.00335958,0.003352,0.003356,0,0,
638140284257955046,0.003354,0.003355,0.00334942,0.00335958,0.003352,0.003355,0,0,
638140284290022047,0.003354,0.003355,0.00334942,0.00335958,0.003353,0.003355,0,0,
638140284295991648,0.003354,0.003355,0.00334942,0.00335958,0.003353,0.003356,0,0,
638140284296790830,0.003354,0.003356,0.00334942,0.00335958,0.003353,0.003356,0,0,
638140284348958117,0.003354,0.003356,0.00334942,0.00335958,0.003354,0.003356,0,0,
638140284415045420,0.003354,0.003356,0.00334942,0.00335958,0.003355,0.003356,0,0,
638140284464878516,0.003354,0.003356,0.00334942,0.00335958,0.003352,0.003356,0,0,
638140284467860183,0.003354,0.003356,0.00334942,0.00335958,0.003353,0.003356,0,0,
638140284473245112,0.003354,0.003356,0.00334942,0.00335958,0.003354,0.003356,0,0,
638140284493238956,0.003354,0.003356,0.00334942,0.00335958,0.003355,0.003359,0,0,
638140284493239840,0.003354,0.003356,0.00334942,0.00335958,0.003355,0.003359,0,0,
638140284493240162,0.003354,0.003356,0.00334942,0.00335958,0.003355,0.003359,0,0,
638140284497968360,0.003355,0.003356,0.00334942,0.00335958,0.003355,0.003359,0,0,
638140284499215083,0.003355,0.003356,0.00334942,0.00335958,0.003355,0.00336,0,0,
638140284505166501,0.003355,0.003356,0.00334942,0.00335958,0.003355,0.003359,0,0,
638140284508104212,0.003355,0.003356,0.00334942,0.00335958,0.003356,0.003359,0,0,
638140284515206091,0.003355,0.003356,0.00334942,0.00335958,0.003355,0.003359,0,0,
638140284517030139,0.003355,0.003356,0.00334942,0.00335958,0.003356,0.003359,0,0,
638140284519237755,0.003355,0.003356,0.00334942,0.00335958,0.003356,0.00336,0,0,
638140284616069557,0.003355,0.003356,0.00334942,0.00335958,0.003357,0.00336,0,0,
638140284629983873,0.003355,0.003357,0.00334942,0.00335958,0.003357,0.00336,0,0,
638140284666168467,0.003355,0.003357,0.00334942,0.00335958,0.003356,0.00336,0,0,
638140284667892927,0.003356,0.003357,0.00334942,0.00335958,0.003356,0.00336,0,0,
638140284676156245,0.003356,0.003357,0.00334942,0.00335958,0.003357,0.00336,0,0,
638140284787073173,0.003356,0.003357,0.00334942,0.00335958,0.003354,0.00336,0,0,
