time,binanceADABTCbidMax,binanceADABTCsellMin,nicehashADABTCbidMax,nicehashADABTCsellMin,okxADABTCADA-BTCbidMax,okxADABTCADA-BTCsellMin,bitstampADABTCbidMax,bitstampADABTCsellMin,
638140282208736892,0,0,0,0,1.531E-05,0,0,0,
638140282208738303,0,0,0,0,1.532E-05,0,0,0,
638140282249639776,0,0,0,0,1.532E-05,1.565E-05,0,0,
638140282266011309,0,0,0,0,1.533E-05,1.565E-05,0,0,
638140282272775800,0,0,0,0,1.533E-05,1.536E-05,0,0,
638140282360933401,0,1.538E-05,0,0,1.533E-05,1.536E-05,0,0,
638140282361725631,0,1.536E-05,0,0,1.533E-05,1.536E-05,0,0,
638140282361728595,0,1.536E-05,0,0,1.533E-05,1.535E-05,0,0,
638140282362809675,0,1.535E-05,0,0,1.533E-05,1.535E-05,0,0,
638140282379240609,1.47E-05,1.535E-05,0,0,1.533E-05,1.535E-05,0,0,
638140282380951850,1.471E-05,1.535E-05,0,0,1.533E-05,1.535E-05,0,0,
638140282394702405,1.471E-05,1.535E-05,0,0,1.533E-05,1.536E-05,0,0,
638140282397033835,1.471E-05,1.535E-05,0,0,1.533E-05,1.535E-05,0,0,
638140282410851008,1.531E-05,1.535E-05,0,0,1.533E-05,1.535E-05,0,0,
638140282410851785,1.533E-05,1.535E-05,0,0,1.533E-05,1.535E-05,0,0,
638140282411791905,1.534E-05,1.535E-05,0,0,1.533E-05,1.535E-05,0,0,
638140282463928286,1.534E-05,1.535E-05,6.57E-06,0,1.533E-05,1.535E-05,0,0,
638140282475673714,1.534E-05,1.535E-05,6.57E-06,0,1.534E-05,1.535E-05,0,0,
638140282517743852,1.534E-05,1.535E-05,6.57E-06,0,1.533E-05,1.536E-05,0,0,
638140282517744322,1.534E-05,1.535E-05,6.57E-06,0,1.533E-05,1.536E-05,0,0,
638140282519740607,1.534E-05,1.535E-05,6.57E-06,0,1.534E-05,1.535E-05,0,0,
638140282519741186,1.534E-05,1.535E-05,6.57E-06,0,1.534E-05,1.535E-05,0,0,
638140282697772219,1.534E-05,1.535E-05,6.57E-06,0,1.534E-05,1.536E-05,0,0,
638140282777414206,1.534E-05,1.535E-05,6.57E-06,1.538E-05,1.534E-05,1.536E-05,0,0,
638140282822766372,1.534E-05,1.535E-05,6.57E-06,1.538E-05,1.534E-05,1.535E-05,0,0,
638140282846699715,1.534E-05,1.535E-05,6.57E-06,1.538E-05,1.534E-05,1.536E-05,0,0,
638140282852678710,1.534E-05,1.535E-05,6.57E-06,1.538E-05,1.534E-05,1.535E-05,0,0,
638140282866824133,1.534E-05,1.535E-05,6.57E-06,1.538E-05,1.534E-05,1.536E-05,0,0,
638140282975643284,1.534E-05,1.535E-05,0,1.538E-05,1.534E-05,1.536E-05,0,0,
