time,binanceBCHBTCbidMax,binanceBCHBTCsellMin,nicehashBCHBTCbidMax,nicehashBCHBTCsellMin,okxBCHBTCBCH-BTCbidMax,okxBCHBTCBCH-BTCsellMin,bitstampBCHBTCbidMax,bitstampBCHBTCsellMin,
638140282194665914,0,0,0,0,0,0.00546,0,0,
638140282195882512,0,0,0,0,0,0.00545,0,0,
638140282204711661,0,0,0,0,0.00542,0.00545,0,0,
638140282225741753,0,0,0,0,0.00543,0.00545,0,0,
638140282334876510,0,0,0,0,0.00543,0.00544,0,0,
638140282354045066,0.00543,0,0,0,0.00543,0.00544,0,0,
638140282354832074,0.00543,0,0,0,0.00543,0.00545,0,0,
638140282358773740,0.00543,0,0,0,0.00543,0.00544,0,0,
638140282379400550,0.00543,0,0,0,0.00543,0.00545,0,0,
638140282385643496,0.00543,0,0,0,0.00543,0.00544,0,0,
638140282403753721,0.00543,0,0,0,0.00543,0.00545,0,0,
638140282409913329,0.00543,0,0,0,0.00543,0.00544,0,0,
638140282411054889,0.00543,0.00546,0,0,0.00543,0.00544,0,0,
638140282411056077,0.00543,0.00545,0,0,0.00543,0.00544,0,0,
638140282429769045,0.00543,0.00545,0,0,0.00543,0.00545,0,0,
638140282432747871,0.00543,0.00545,0,0,0.00543,0.00544,0,0,
638140282452831835,0.00543,0.00545,0,0,0.00543,0.00545,0,0,
638140282456745805,0.00543,0.00545,0,0,0.00543,0.00544,0,0,
638140282474729755,0.00543,0.00545,0,0,0.00543,0.00545,0,0,
638140282717846230,0.00543,0.00545,0,0,0.00543,0.00544,0,0,
638140282737789605,0.00543,0.00545,0,0,0.00543,0.00545,0,0,
638140282740756578,0.00543,0.00545,0,0,0.00543,0.00544,0,0,
638140282756705749,0.00543,0.00545,0,0,0.00543,0.00545,0,0,
638140282995156706,0.00543,0.00545,0,0.00584236,0.00543,0.00545,0,0,
638140283224509814,0.00544,0.00545,0,0.00584236,0.00543,0.00545,0,0,
638140283246973911,0.00544,0.00545,0,0.00584236,0.00544,0.00545,0,0,
638140283249923661,0.00544,0.00545,0,0.00584236,0.00543,0.00545,0,0,
638140283262952301,0.00544,0.00545,0,0.00584236,0.00544,0.00545,0,0,
638140283282812073,0.00544,0.00545,0,0.00584236,0.00543,0.00546,0,0,
638140283282812448,0.00544,0.00545,0,0.00584236,0.00543,0.00546,0,0,
638140283285881686,0.00544,0.00545,0,0.00584236,0.00544,0.00546,0,0,
638140283305789483,0.00544,0.00545,0,0.00584236,0.00543,0.00546,0,0,
638140283308780876,0.00544,0.00545,0,0.00584236,0.00544,0.00546,0,0,
638140283349836602,0.00544,0.00545,0,0.00584236,0.00544,0.00545,0,0,
638140283369752407,0.00544,0.00545,0,0.00584236,0.00544,0.00546,0,0,
638140283373828904,0.00544,0.00545,0,0.00584236,0.00544,0.00545,0,0,
638140283393813149,0.00544,0.00545,0,0.00584236,0.00544,0.00546,0,0,
638140283396896660,0.00544,0.00545,0,0.00584236,0.00544,0.00545,0,0,
638140283416791566,0.00544,0.00545,0,0.00584236,0.00544,0.00546,0,0,
638140283426117382,0.00544,0.00545,0,0.00546568,0.00544,0.00546,0,0,
638140283430329387,0.00544,0.00545,0,0.00545954,0.00544,0.00546,0,0,
638140283442774756,0.00544,0.00545,0,0.00545954,0.00544,0.00545,0,0,
638140283461806222,0.00544,0.00545,0,0.00545954,0.00543,0.00545,0,0,
638140283463887861,0.00544,0.00545,0,0.00545954,0.00543,0.00546,0,0,
638140283465821110,0.00544,0.00545,0,0.00545954,0.00543,0.00545,0,0,
638140283466851591,0.00544,0.00545,0,0.00545954,0.00544,0.00545,0,0,
638140283486809916,0.00544,0.00545,0,0.00545954,0.00543,0.00545,0,0,
638140283489780512,0.00544,0.00545,0,0.00545954,0.00544,0.00545,0,0,
638140283509860314,0.00544,0.00545,0,0.00545954,0.00543,0.00545,0,0,
638140283512835094,0.00544,0.00545,0,0.00545954,0.00544,0.00545,0,0,
638140283530905059,0.00544,0.00545,0,0.00546727,0.00544,0.00545,0,0,
638140283530905722,0.00544,0.00545,0,0.00546727,0.00544,0.00545,0,0,
638140283532799678,0.00544,0.00545,0,0.00546727,0.00543,0.00545,0,0,
638140283535826320,0.00544,0.00545,0,0.00546727,0.00544,0.00545,0,0,
638140283540829167,0.00544,0.00545,0,0.00546727,0.00544,0.00546,0,0,
638140283544901180,0.00544,0.00545,0,0.00546727,0.00544,0.00545,0,0,
638140283555873164,0.00544,0.00545,0,0.00546727,0.00543,0.00545,0,0,
638140283558853157,0.00544,0.00545,0,0.00546727,0.00544,0.00545,0,0,
638140283578835389,0.00544,0.00545,0,0.00546727,0.00543,0.00545,0,0,
638140283580896570,0.00544,0.00545,0,0.00546727,0.00544,0.00545,0,0,
638140283599758248,0.00544,0.00545,0,0.00546727,0.00544,0.00546,0,0,
638140283600846678,0.00544,0.00545,0,0.00546727,0.00543,0.00546,0,0,
638140283603824494,0.00544,0.00545,0,0.00546727,0.00544,0.00546,0,0,
638140283623936043,0.00544,0.00545,0,0.00546727,0.00543,0.00546,0,0,
638140283626879626,0.00544,0.00545,0,0.00546727,0.00544,0.00546,0,0,
638140283646752998,0.00544,0.00545,0,0.00546727,0.00543,0.00546,0,0,
638140283649872970,0.00544,0.00545,0,0.00546727,0.00544,0.00546,0,0,
638140283669774983,0.00544,0.00545,0,0.00546727,0.00543,0.00546,0,0,
638140283673377168,0.00544,0.00545,0,0.00546727,0.00544,0.00546,0,0,
638140283692773151,0.00544,0.00545,0,0.00546727,0.00543,0.00546,0,0,
638140283695809590,0.00544,0.00545,0,0.00546727,0.00544,0.00546,0,0,
638140283715776544,0.00544,0.00545,0,0.00546727,0.00543,0.00546,0,0,
638140283718776930,0.00544,0.00545,0,0.00546727,0.00544,0.00546,0,0,
638140283738846264,0.00544,0.00545,0,0.00546727,0.00543,0.00546,0,0,
638140283740743397,0.00544,0.00545,0,0.00546727,0.00543,0.00545,0,0,
638140283741829650,0.00544,0.00545,0,0.00546727,0.00544,0.00545,0,0,
638140283760879348,0.00544,0.00545,0,0.00546727,0.00544,0.00546,0,0,
638140283768745391,0.00544,0.00545,0,0.00546727,0.00544,0.00545,0,0,
638140283789820355,0.00544,0.00545,0,0.00546727,0.00544,0.00546,0,0,
638140283798954805,0.00544,0.00545,0,0.00546727,0.00544,0.00545,0,0,
638140283799943271,0.00544,0.00545,0,0.00546727,0.00543,0.00545,0,0,
638140283819881362,0.00544,0.00545,0,0.00546727,0.00543,0.00546,0,0,
638140283821911535,0.00544,0.00545,0,0.00546727,0.00544,0.00546,0,0,
638140284118213559,0.00544,0.00545,0,0.00546727,0.00544,0.00545,0,0,
638140284138188701,0.00544,0.00545,0,0.00546727,0.00544,0.00546,0,0,
638140284140955056,0.00544,0.00545,0,0.00546727,0.00543,0.00546,0,0,
638140284193943626,0.00544,0.00545,0,0.00546727,0.00544,0.00546,0,0,
638140284231975916,0.00544,0.00545,0,0.00546727,0.00544,0.00545,0,0,
638140284276914323,0.00544,0.00545,0,0.00546727,0.00543,0.00545,0,0,
638140284410005162,0.00544,0.00545,0,0.00546727,0.00544,0.00545,0,0,
638140284415950922,0.00544,0.00545,0,0.00546727,0.00544,0.00546,0,0,
638140284457866897,0.00544,0.00545,0,0.00546727,0.00544,0.00545,0,0,
638140284473067074,0.00544,0.00545,0,0.00546727,0.00544,0.00546,0,0,
638140284474074414,0.00544,0.00545,0,0.00546727,0.00544,0.00545,0,0,
638140284509873237,0.00544,0.00545,0,0.00546727,0.00543,0.00545,0,0,
638140284602930983,0.00544,0.00545,0,0.00546727,0.00544,0.00545,0,0,
638140284621985022,0.00544,0.00545,0,0.00546727,0.00544,0.00546,0,0,
638140284622914775,0.00544,0.00545,0,0.00546727,0.00544,0.00545,0,0,
638140284634007619,0.00544,0.00545,0,0.00546727,0.00544,0.00546,0,0,
638140284636036907,0.00544,0.00545,0,0.00546727,0.00544,0.00545,0,0,
638140284639818848,0.00544,0.00545,0,0.00546727,0.00543,0.00545,0,0,
638140284651931639,0.00544,0.00545,0,0.00546727,0.00543,0.00546,0,0,
638140284652851514,0.00544,0.00545,0,0.00546727,0.00543,0.00545,0,0,
638140284731958686,0.00544,0.00545,0,0.00546727,0.00544,0.00545,0,0,
638140284755872847,0.00544,0.00545,0,0.00546727,0.00544,0.00546,0,0,
638140284757010874,0.00544,0.00545,0,0.00546727,0.00544,0.00545,0,0,
638140284758855379,0.00544,0.00545,0,0.00546727,0.00544,0.00546,0,0,
638140284762598337,0.00544,0.00545,0,0.00546725,0.00544,0.00546,0,0,
638140284799921167,0.00544,0.00545,0,0.00546725,0.00544,0.00545,0,0,
638140284802000224,0.00544,0.00545,0,0.00546725,0.00544,0.00546,0,0,
638140284817989781,0.00544,0.00546,0,0.00546725,0.00544,0.00546,0,0,
638140284836906754,0.00545,0.00546,0,0.00546725,0.00544,0.00546,0,0,
638140284843959365,0.00545,0.00546,0.00544256,0.00546725,0.00544,0.00546,0,0,
638140284873896307,0.00545,0.00546,0.00544256,0.00546725,0.00544,0.00547,0,0,
638140284895901539,0.00545,0.00546,0.00544256,0.00546725,0.00544,0.00546,0,0,
638140284963930199,0.00545,0.00546,0.00544256,0.00546725,0.00545,0.00546,0,0,
638140285021878203,0.00545,0.00546,0.00544256,0.00546725,0.00545,0.00547,0,0,
638140285080814283,0.00545,0.00546,0.00544256,0.00546725,0.00545,0.00546,0,0,
638140285097825979,0.00545,0.00546,0.00544256,0.00546725,0.00545,0.00547,0,0,
638140285100952691,0.00545,0.00546,0.00544256,0.00546725,0.00545,0.00546,0,0,
638140285110901316,0.00545,0.00546,0.00544256,0.00546725,0.00545,0.00547,0,0,
638140285113847043,0.00545,0.00546,0.00544256,0.00546725,0.00545,0.00546,0,0,
638140285116875489,0.00545,0.00546,0.00544256,0.00546725,0.00545,0.00547,0,0,
638140285123935467,0.00545,0.00546,0.00544256,0.00546725,0.00545,0.00546,0,0,
638140285202796641,0.00545,0.00546,0.00544256,0.00546725,0.00545,0.00547,0,0,
638140285243942833,0.00545,0.00546,0.00544256,0.00546725,0.00545,0.00546,0,0,
638140285391873831,0.00545,0.00546,0.00544256,0.00546725,0.00546,0.00546,0,0,
638140285391875290,0.00545,0.00546,0.00544256,0.00546725,0.00546,0.00547,0,0,
