time,binanceBTCUSDTbidMax,binanceBTCUSDTsellMin,nicehashBTCUSDTbidMax,nicehashBTCUSDTsellMin,okxBTCUSDTBTC-USDTbidMax,okxBTCUSDTBTC-USDTsellMin,bitstampBTCUSDTbidMax,bitstampBTCUSDTsellMin,
638140282153880517,0,0,0,0,19868.9,0,0,0,
638140282153882960,0,0,0,0,19878.6,19885.8,0,0,
638140282153883633,0,0,0,0,19878.6,19883.9,0,0,
638140282153884332,0,0,0,0,19878.6,19883.9,0,0,
638140282153884883,0,0,0,0,19878.6,19883.1,0,0,
638140282153885538,0,0,0,0,19878.6,19883.1,0,0,
638140282153886202,0,0,0,0,19878.6,19883.1,0,0,
638140282153886876,0,0,0,0,19878.6,19883.1,0,0,
638140282153887441,0,0,0,0,19878.6,19883.1,0,0,
638140282154668262,0,0,0,0,19878.6,19881.9,0,0,
638140282154669222,0,0,0,0,19878.6,19881.9,0,0,
638140282155782279,0,0,0,0,19878.6,19879.6,0,0,
638140282156908510,0,0,0,0,19878.6,19879.5,0,0,
638140282157684589,0,0,0,0,19878.6,19878.7,0,0,
638140282157685070,0,0,0,0,19878.6,19878.7,0,0,
638140282163678968,0,0,0,0,19879.4,19878.7,0,0,
638140282163679351,0,0,0,0,19879.4,19878.7,0,0,
638140282163696976,0,0,0,0,19879.4,19879.5,0,0,
638140282256894397,0,0,0,0,19880.4,19879.5,0,0,
638140282256904692,0,0,0,0,19880.4,19880.5,0,0,
638140282265552466,0,0,0,0,19880.8,19880.5,0,0,
638140282265553574,0,0,0,0,19882.4,19880.5,0,0,
638140282265553950,0,0,0,0,19882.4,19880.5,0,0,
638140282265579850,0,0,0,0,19882.4,19882.5,0,0,
638140282275757420,0,0,0,0,19884,19882.5,0,0,
638140282275758088,0,0,0,0,19884,19882.5,0,0,
638140282275758416,0,0,0,0,19884,19882.5,0,0,
638140282275769024,0,0,0,0,19884,19884.1,0,0,
638140282275769439,0,0,0,0,19884,19884.1,0,0,
638140282278873523,0,0,0,0,19886.1,19884.1,0,0,
638140282278874038,0,0,0,0,19886.1,19884.1,0,0,
638140282278874363,0,0,0,0,19886.1,19884.1,0,0,
638140282278884366,0,0,0,0,19886.1,19886.2,0,0,
638140282293798557,19880.45,0,0,0,19886.1,19886.2,0,0,
638140282293799219,19882.46,0,0,0,19886.1,19886.2,0,0,
638140282293799546,19882.46,0,0,0,19886.1,19886.2,0,0,
638140282293799748,19882.46,0,0,0,19886.1,19886.2,0,0,
638140282293800540,19882.48,0,0,0,19886.1,19886.2,0,0,
638140282293800755,19883.54,0,0,0,19886.1,19886.2,0,0,
638140282293802689,19884.1,0,0,0,19886.1,19886.2,0,0,
638140282293803073,19884.56,19890.73,0,0,19886.1,19886.2,0,0,
638140282293803415,19884.56,19890.73,0,0,19886.1,19886.2,0,0,
638140282293803929,19884.56,19890.73,0,0,19886.1,19886.2,0,0,
638140282293804844,19884.56,19886.49,0,0,19886.1,19886.2,0,0,
638140282293805209,19884.56,19886.31,0,0,19886.1,19886.2,0,0,
638140282293805526,19884.56,19886.31,0,0,19886.1,19886.2,0,0,
638140282293807010,19884.56,19885.8,0,0,19886.1,19886.2,0,0,
638140282293807249,19884.56,19885.79,0,0,19886.1,19886.2,0,0,
638140282293807549,19884.56,19885.79,0,0,19886.1,19886.2,0,0,
638140282293809368,19884.56,19885.69,0,0,19886.1,19886.2,0,0,
638140282293811066,19884.56,19885.6,0,0,19886.1,19886.2,0,0,
638140282293811382,19884.56,19885.53,0,0,19886.1,19886.2,0,0,
638140282293811781,19884.56,19885.52,0,0,19886.1,19886.2,0,0,
638140282293813305,19884.56,19885.49,0,0,19886.1,19886.2,0,0,
638140282294735911,19884.57,19885.49,0,0,19886.1,19886.2,0,0,
638140282294736505,19884.57,19885.49,0,0,19886.1,19886.2,0,0,
638140282295825548,19884.57,19885.52,0,0,19886.1,19886.2,0,0,
638140282296765815,19884.91,19885.52,0,0,19886.1,19886.2,0,0,
638140282298789456,19884.43,19885.52,0,0,19886.1,19886.2,0,0,
638140282298801061,19884.43,19885.47,0,0,19886.1,19886.2,0,0,
638140282298802759,19884.43,19885.38,0,0,19886.1,19886.2,0,0,
638140282298803068,19884.43,19885.37,0,0,19886.1,19886.2,0,0,
638140282298803379,19884.43,19885.37,0,0,19886.1,19886.2,0,0,
638140282298804862,19884.43,19885.35,0,0,19886.1,19886.2,0,0,
638140282298805100,19884.43,19885.27,0,0,19886.1,19886.2,0,0,
638140282298805497,19884.43,19885.27,0,0,19886.1,19886.2,0,0,
638140282298805819,19884.43,19885.27,0,0,19886.1,19886.2,0,0,
638140282299734564,19884.42,19885.27,0,0,19886.1,19886.2,0,0,
638140282299741257,19884.46,19885.27,0,0,19886.1,19886.2,0,0,
638140282299741709,19884.51,19885.27,0,0,19886.1,19886.2,0,0,
638140282299744100,19884.51,19885.27,0,0,19886.1,19886.2,0,0,
638140282299746760,19884.51,19885.29,0,0,19886.1,19886.2,0,0,
638140282299748085,19884.51,19885.21,0,0,19886.1,19886.2,0,0,
638140282299750125,19884.51,19885.17,0,0,19886.1,19886.2,0,0,
638140282299750511,19884.51,19885.17,0,0,19886.1,19886.2,0,0,
638140282300841008,19884.46,19885.17,0,0,19886.1,19886.2,0,0,
638140282300842672,19884.58,19885.17,0,0,19886.1,19886.2,0,0,
638140282300842947,19884.59,19885.17,0,0,19886.1,19886.2,0,0,
638140282300846946,19884.59,19885.35,0,0,19886.1,19886.2,0,0,
638140282300847303,19884.59,19885.35,0,0,19886.1,19886.2,0,0,
638140282301798769,19884.45,19885.35,0,0,19886.1,19886.2,0,0,
638140282301801652,19884.45,19885.33,0,0,19886.1,19886.2,0,0,
638140282301801973,19884.45,19885.33,0,0,19886.1,19886.2,0,0,
638140282301805493,19884.45,19885.24,0,0,19886.1,19886.2,0,0,
638140282301805816,19884.45,19885.22,0,0,19886.1,19886.2,0,0,
