time,binanceETHBTCbidMax,binanceETHBTCsellMin,nicehashETHBTCbidMax,nicehashETHBTCsellMin,okxETHBTCETH-BTCbidMax,okxETHBTCETH-BTCsellMin,bitstampETHBTCbidMax,bitstampETHBTCsellMin,
638140282208011331,0,0,0,0,0.07069,0,0,0,
638140282208012482,0,0,0,0,0.0707,0.0708,0,0,
638140282208013481,0,0,0,0,0.0707,0.0708,0,0,
638140282208014437,0,0,0,0,0.0707,0.07078,0,0,
638140282208015421,0,0,0,0,0.0707,0.07078,0,0,
638140282208016151,0,0,0,0,0.0707,0.07078,0,0,
638140282208017172,0,0,0,0,0.0707,0.07078,0,0,
638140282208705501,0,0,0,0,0.07072,0.07078,0,0,
638140282208706736,0,0,0,0,0.07072,0.07078,0,0,
638140282208713563,0,0,0,0,0.07072,0.07076,0,0,
638140282208714191,0,0,0,0,0.07072,0.07076,0,0,
638140282209813808,0,0,0,0,0.07072,0.07075,0,0,
638140282232721399,0,0,0,0,0.07073,0.07075,0,0,
638140282369890404,0.070583,0,0,0,0.07073,0.07075,0,0,
638140282369892136,0.070622,0,0,0,0.07073,0.07075,0,0,
638140282370813353,0.070628,0.070798,0,0,0.07073,0.07075,0,0,
638140282370813694,0.070628,0.07077,0,0,0.07073,0.07075,0,0,
638140282370814016,0.070628,0.07077,0,0,0.07073,0.07075,0,0,
638140282374712641,0.070628,0.070767,0,0,0.07073,0.07075,0,0,
638140282375832628,0.070707,0.070767,0,0,0.07073,0.07075,0,0,
638140282375834483,0.070722,0.070767,0,0,0.07073,0.07075,0,0,
638140282375835114,0.070722,0.070767,0,0,0.07073,0.07075,0,0,
638140282375839230,0.070722,0.070723,0,0,0.07073,0.07075,0,0,
638140282376755965,0.070723,0.070723,0,0,0.07073,0.07075,0,0,
638140282376759949,0.070723,0.070727,0,0,0.07073,0.07075,0,0,
638140282377839634,0.070723,0.070726,0,0,0.07073,0.07075,0,0,
638140282400630849,0.070723,0.070726,0,0,0.07074,0.07075,0,0,
638140282401715236,0.070723,0.070724,0,0,0.07074,0.07075,0,0,
638140282408673152,0.070724,0.070724,0,0,0.07074,0.07075,0,0,
638140282408801579,0.070724,0.070726,0,0,0.07074,0.07075,0,0,
638140282411796190,0.070727,0.070726,0,0,0.07074,0.07075,0,0,
638140282411796604,0.070727,0.070726,0,0,0.07074,0.07075,0,0,
638140282411798012,0.070727,0.070728,0,0,0.07074,0.07075,0,0,
638140282430895530,0.070728,0.070729,0,0,0.07074,0.07075,0,0,
638140282430896102,0.070728,0.070729,0,0,0.07074,0.07075,0,0,
638140282469712322,0.070729,0.070729,0,0,0.07074,0.07075,0,0,
638140282469713380,0.070729,0.070731,0,0,0.07074,0.07075,0,0,
638140282488687905,0.070729,0.070735,0,0,0.07074,0.07075,0,0,
638140282488688372,0.070729,0.070735,0,0,0.07074,0.07075,0,0,
638140282488688739,0.070729,0.070735,0,0,0.07074,0.07075,0,0,
638140282488697865,0.070731,0.070735,0,0,0.07074,0.07075,0,0,
638140282488698099,0.070734,0.070735,0,0,0.07074,0.07075,0,0,
638140282488698408,0.070734,0.070735,0,0,0.07074,0.07075,0,0,
