time,binanceETHUSDTbidMax,binanceETHUSDTsellMin,nicehashETHUSDTbidMax,nicehashETHUSDTsellMin,okxETHUSDTETH-USDTbidMax,okxETHUSDTETH-USDTsellMin,bitstampETHUSDTbidMax,bitstampETHUSDTsellMin,
638140282144772849,0,0,0,0,1405.06,0,0,0,
638140282144773939,0,0,0,0,1405.06,0,0,0,
638140282144775047,0,0,0,0,1405.38,0,0,0,
638140282144775683,0,0,0,0,1405.38,0,0,0,
638140282144776347,0,0,0,0,1405.38,0,0,0,
638140282144777057,0,0,0,0,1406.18,0,0,0,
638140282144777795,0,0,0,0,1406.18,0,0,0,
638140282144778469,0,0,0,0,1406.18,0,0,0,
638140282144779085,0,0,0,0,1406.18,0,0,0,
638140282144780889,0,0,0,0,1406.18,1406.61,0,0,
638140282144781489,0,0,0,0,1406.18,1406.5,0,0,
638140282144782110,0,0,0,0,1406.18,1406.5,0,0,
638140282144782870,0,0,0,0,1406.18,1406.43,0,0,
638140282144784394,0,0,0,0,1406.18,1406.43,0,0,
638140282144784709,0,0,0,0,1406.18,1406.43,0,0,
638140282144785105,0,0,0,0,1406.18,1406.43,0,0,
638140282144785437,0,0,0,0,1406.18,1406.43,0,0,
638140282144950353,0,0,0,0,1406.18,1406.24,0,0,
638140282144951035,0,0,0,0,1406.18,1406.24,0,0,
638140282144951730,0,0,0,0,1406.18,1406.19,0,0,
638140282145729010,0,0,0,0,1406.23,1406.19,0,0,
638140282145729925,0,0,0,0,1406.23,1406.19,0,0,
638140282145745582,0,0,0,0,1406.23,1406.24,0,0,
638140282198744386,0,0,0,0,1406.31,1406.24,0,0,
638140282198744911,0,0,0,0,1406.31,1406.24,0,0,
638140282198750469,0,0,0,0,1406.31,1406.32,0,0,
638140282207734962,0,0,0,0,1406.39,1406.32,0,0,
638140282207735499,0,0,0,0,1406.39,1406.32,0,0,
638140282207735817,0,0,0,0,1406.39,1406.32,0,0,
638140282207753634,0,0,0,0,1406.39,1406.4,0,0,
638140282209792639,0,0,0,0,1406.43,1406.4,0,0,
638140282209793101,0,0,0,0,1406.46,1406.4,0,0,
638140282209793427,0,0,0,0,1406.46,1406.4,0,0,
