time,binanceLINKBTCbidMax,binanceLINKBTCsellMin,nicehashLINKBTCbidMax,nicehashLINKBTCsellMin,okxLINKBTCLINK-BTCbidMax,okxLINKBTCLINK-BTCsellMin,bitstampLINKBTCbidMax,bitstampLINKBTCsellMin,
638140282179675573,0,0,0,0,0,0.000309,0,0,
638140282189745165,0,0,0,0,0,0.000308,0,0,
638140282204711785,0,0,0,0,0.000306,0.000308,0,0,
638140282205653481,0,0,0,0,0.000307,0.000308,0,0,
638140282307888311,0.0003073,0,0,0,0.000307,0.000308,0,0,
638140282307889313,0.0003073,0,0,0,0.000307,0.000308,0,0,
638140282308851804,0.0003077,0.0003083,0,0,0.000307,0.000308,0,0,
638140282308852616,0.0003077,0.0003083,0,0,0.000307,0.000308,0,0,
638140282308854096,0.0003077,0.000308,0,0,0.000307,0.000308,0,0,
638140282308855048,0.0003077,0.000308,0,0,0.000307,0.000308,0,0,
638140282313943875,0.0003077,0.0003079,0,0,0.000307,0.000308,0,0,
638140282344653109,0.0003077,0.0003079,0,0.00030957,0.000307,0.000308,0,0,
638140282346548682,0.0003077,0.0003079,0,0.00030895,0.000307,0.000308,0,0,
638140282352081845,0.0003077,0.0003078,0,0.00030895,0.000307,0.000308,0,0,
638140282382207709,0.0003078,0.0003078,0,0.00030895,0.000307,0.000308,0,0,
638140282382208974,0.0003078,0.0003079,0,0.00030895,0.000307,0.000308,0,0,
638140282388051708,0.0003077,0.0003079,0,0.00030895,0.000307,0.000308,0,0,
638140282388053185,0.0003077,0.0003078,0,0.00030895,0.000307,0.000308,0,0,
638140282410073490,0.0003077,0.0003079,0,0.00030895,0.000307,0.000308,0,0,
638140282410194481,0.0003078,0.0003079,0,0.00030895,0.000307,0.000308,0,0,
638140282412102462,0.0003078,0.0003078,0,0.00030895,0.000307,0.000308,0,0,
638140282412168134,0.0003077,0.0003078,0,0.00030895,0.000307,0.000308,0,0,
638140282719204017,0.0003077,0.0003079,0,0.00030895,0.000307,0.000308,0,0,
638140282721103396,0.0003078,0.0003079,0,0.00030895,0.000307,0.000308,0,0,
638140282869036005,0.0003077,0.0003079,0,0.00030895,0.000307,0.000308,0,0,
638140282874104404,0.0003077,0.0003078,0,0.00030895,0.000307,0.000308,0,0,
638140282977240917,0.0003078,0.0003079,0,0.00030895,0.000307,0.000308,0,0,
638140282977241398,0.0003078,0.0003079,0,0.00030895,0.000307,0.000308,0,0,
638140283030172542,0.0003077,0.0003079,0,0.00030895,0.000307,0.000308,0,0,
638140283035227855,0.0003077,0.0003078,0,0.00030895,0.000307,0.000308,0,0,
638140283055388292,0.0003077,0.0003079,0,0.00030895,0.000307,0.000308,0,0,
638140283057234180,0.0003077,0.0003078,0,0.00030895,0.000307,0.000308,0,0,
638140283114327447,0.0003077,0.0003079,0,0.00030895,0.000307,0.000308,0,0,
638140283116410968,0.0003078,0.0003079,0,0.00030895,0.000307,0.000308,0,0,
638140283126450907,0.0003078,0.0003079,0,0.00030841,0.000307,0.000308,0,0,
638140283229514817,0.0003078,0.000308,0,0.00030841,0.000307,0.000308,0,0,
638140283230439805,0.0003079,0.000308,0,0.00030841,0.000307,0.000308,0,0,
638140283231262677,0.0003079,0.000308,0.00030747,0.00030841,0.000307,0.000308,0,0,
638140283234385755,0.0003078,0.000308,0.00030747,0.00030841,0.000307,0.000308,0,0,
638140283239340144,0.0003078,0.0003079,0.00030747,0.00030841,0.000307,0.000308,0,0,
638140283247506437,0.0003078,0.000308,0.00030747,0.00030841,0.000307,0.000308,0,0,
638140283249922047,0.0003078,0.000308,0.00030747,0.00030841,0.000307,0.000309,0,0,
638140283250499928,0.0003079,0.000308,0.00030747,0.00030841,0.000307,0.000309,0,0,
638140283264344816,0.0003079,0.0003081,0.00030747,0.00030841,0.000307,0.000309,0,0,
638140283265485860,0.0003079,0.000308,0.00030747,0.00030841,0.000307,0.000309,0,0,
638140283273505632,0.000308,0.000308,0.00030747,0.00030841,0.000307,0.000309,0,0,
638140283273507870,0.000308,0.0003081,0.00030747,0.00030841,0.000307,0.000309,0,0,
638140283295286887,0.0003081,0.0003081,0.00030747,0.00030841,0.000307,0.000309,0,0,
638140283295288334,0.0003081,0.0003082,0.00030747,0.00030841,0.000307,0.000309,0,0,
638140283295596134,0.0003081,0.0003082,0.00030767,0.00030841,0.000307,0.000309,0,0,
638140283297368193,0.0003081,0.0003082,0.00030767,0.0003088,0.000307,0.000309,0,0,
638140283297368550,0.0003081,0.0003082,0.00030767,0.00030862,0.000307,0.000309,0,0,
638140283362340550,0.000308,0.0003082,0.00030767,0.00030862,0.000307,0.000309,0,0,
638140283362342543,0.000308,0.0003081,0.00030767,0.00030862,0.000307,0.000309,0,0,
638140283371307476,0.000308,0.0003082,0.00030767,0.00030862,0.000307,0.000309,0,0,
638140283394413321,0.000308,0.0003081,0.00030767,0.00030862,0.000307,0.000309,0,0,
638140283396740113,0.000308,0.0003082,0.00030767,0.00030862,0.000307,0.000309,0,0,
638140283467449079,0.0003081,0.0003082,0.00030767,0.00030862,0.000307,0.000309,0,0,
638140283815524095,0.0003082,0.0003083,0.00030767,0.00030862,0.000307,0.000309,0,0,
638140283815524586,0.0003082,0.0003083,0.00030767,0.00030862,0.000307,0.000309,0,0,
638140283819732128,0.0003082,0.0003083,0.00030767,0.0003088,0.000307,0.000309,0,0,
638140283826760047,0.0003082,0.0003083,0.00030767,0.0003088,0.000308,0.000309,0,0,
638140283837901273,0.0003082,0.0003083,0.00030767,0.0003088,0.000307,0.000309,0,0,
638140283852831189,0.0003082,0.0003083,0.00030767,0.0003088,0.000308,0.000309,0,0,
638140283862809711,0.0003082,0.0003083,0.00030767,0.0003088,0.000307,0.000309,0,0,
638140283960809964,0.0003082,0.0003083,0.00030767,0.0003088,0.000308,0.000309,0,0,
638140284120356516,0.0003082,0.0003083,0.00030767,0.0003088,0.000307,0.000309,0,0,
638140284134984687,0.0003082,0.0003083,0.00030767,0.0003088,0.000308,0.000309,0,0,
638140284140036622,0.0003082,0.0003083,0.00030767,0.0003088,0.000307,0.000309,0,0,
638140284243742550,0.0003081,0.0003083,0.00030767,0.0003088,0.000307,0.000309,0,0,
638140284243744727,0.0003081,0.0003082,0.00030767,0.0003088,0.000307,0.000309,0,0,
638140284245471472,0.0003081,0.0003082,0.00030767,0.00030862,0.000307,0.000309,0,0,
638140284400865582,0.0003082,0.0003082,0.00030767,0.00030862,0.000307,0.000309,0,0,
638140284400867441,0.0003082,0.0003083,0.00030767,0.00030862,0.000307,0.000309,0,0,
638140284406216970,0.0003082,0.0003083,0.00030767,0.00030862,0.000308,0.000309,0,0,
638140284420312989,0.0003082,0.0003083,0.00030767,0.0003088,0.000308,0.000309,0,0,
638140284444083258,0.0003082,0.0003083,0.00030767,0.0003088,0.000307,0.000309,0,0,
638140284475182975,0.0003082,0.0003083,0.00030767,0.0003088,0.000308,0.000309,0,0,
638140284501129560,0.0003083,0.0003084,0.00030767,0.0003088,0.000308,0.000309,0,0,
638140284501131326,0.0003083,0.0003084,0.00030767,0.0003088,0.000308,0.000309,0,0,
638140284502183364,0.0003083,0.0003084,0.00030787,0.0003088,0.000308,0.000309,0,0,
638140284502184023,0.0003083,0.0003084,0.00030787,0.0003088,0.000308,0.000309,0,0,
638140284612919174,0.0003083,0.0003085,0.00030787,0.0003088,0.000308,0.000309,0,0,
638140284616901445,0.0003083,0.0003084,0.00030787,0.0003088,0.000308,0.000309,0,0,
638140284635264245,0.0003083,0.0003085,0.00030787,0.0003088,0.000308,0.000309,0,0,
638140284662967125,0.0003083,0.0003084,0.00030787,0.0003088,0.000308,0.000309,0,0,
638140284670082487,0.0003083,0.0003085,0.00030787,0.0003088,0.000308,0.000309,0,0,
638140284711121782,0.0003083,0.0003084,0.00030787,0.0003088,0.000308,0.000309,0,0,
638140284718990773,0.0003083,0.0003085,0.00030787,0.0003088,0.000308,0.000309,0,0,
638140284727368944,0.0003084,0.0003085,0.00030787,0.0003088,0.000308,0.000309,0,0,
638140284728239138,0.0003084,0.0003085,0.00030787,0.00030881,0.000308,0.000309,0,0,
638140284760130601,0.0003083,0.0003085,0.00030787,0.00030881,0.000308,0.000309,0,0,
638140284760132242,0.0003083,0.0003084,0.00030787,0.00030881,0.000308,0.000309,0,0,
638140284821299090,0.0003083,0.0003085,0.00030787,0.00030881,0.000308,0.000309,0,0,
638140284821325505,0.0003084,0.0003085,0.00030787,0.00030881,0.000308,0.000309,0,0,
638140284903994796,0.0003083,0.0003084,0.00030787,0.00030881,0.000308,0.000309,0,0,
638140284903996086,0.0003083,0.0003084,0.00030787,0.00030881,0.000308,0.000309,0,0,
638140285179146749,0.0003083,0.0003085,0.00030787,0.00030881,0.000308,0.000309,0,0,
638140285180114876,0.0003083,0.0003084,0.00030787,0.00030881,0.000308,0.000309,0,0,
638140285188128125,0.0003084,0.0003085,0.00030787,0.00030881,0.000308,0.000309,0,0,
638140285188128895,0.0003084,0.0003085,0.00030787,0.00030881,0.000308,0.000309,0,0,
638140285307225665,0.0003085,0.0003085,0.00030787,0.00030881,0.000308,0.000309,0,0,
638140285307229864,0.0003085,0.0003086,0.00030787,0.00030881,0.000308,0.000309,0,0,
638140285307231351,0.0003085,0.0003085,0.00030787,0.00030881,0.000308,0.000309,0,0,
638140287271912362,0.0003085,0.0003085,0.00030787,0.00030881,0.000308,0.00031,0,0,
638140287735990642,0.0003085,0.0003085,0.00030787,0.00030881,0.000309,0.00031,0,0,
638140288123993359,0.0003085,0.0003085,0.00030787,0.00030881,0.000308,0.00031,0,0,
638140288163118868,0.0003085,0.0003085,0.00030787,0.00030881,0.000309,0.00031,0,0,
638140288164053016,0.0003085,0.0003085,0.00030787,0.00030881,0.000308,0.00031,0,0,
638140288171048251,0.0003085,0.0003085,0.00030787,0.00030881,0.000309,0.00031,0,0,
638140288208318140,0.0003085,0.0003085,0.00030787,0.00030881,0.000308,0.00031,0,0,
638140288208744916,0.0003085,0.0003085,0.00030867,0.00030881,0.000308,0.00031,0,0,
