time,binanceLTCBTCbidMax,binanceLTCBTCsellMin,nicehashLTCBTCbidMax,nicehashLTCBTCsellMin,okxLTCBTCLTC-BTCbidMax,okxLTCBTCLTC-BTCsellMin,bitstampLTCBTCbidMax,bitstampLTCBTCsellMin,
638140282120981842,0,0,0,0,0,0.003698,0,0,
638140282120982858,0,0,0,0,0,0.003698,0,0,
638140282121144960,0,0,0,0,0,0.003695,0,0,
638140282121939202,0,0,0,0,0.003553,0.003695,0,0,
638140282121940891,0,0,0,0,0.003553,0.003695,0,0,
638140282122729188,0,0,0,0,0.00369,0.003695,0,0,
638140282122730052,0,0,0,0,0.00369,0.003695,0,0,
638140282129831818,0,0,0,0,0.00369,0.003692,0,0,
638140282149809144,0,0,0,0,0.00369,0.003693,0,0,
638140282204859951,0,0,0,0,0.00369,0.003692,0,0,
638140282210839930,0,0,0,0,0.00369,0.003693,0,0,
638140282239805184,0,0,0,0,0.00369,0.003692,0,0,
638140282244732614,0,0.003698,0,0,0.00369,0.003692,0,0,
638140282247735241,0,0.003694,0,0,0.00369,0.003692,0,0,
638140282259854261,0,0.003694,0,0,0.00369,0.003693,0,0,
638140282260636110,0.003681,0.003694,0,0,0.00369,0.003693,0,0,
638140282260636478,0.003681,0.003694,0,0,0.00369,0.003693,0,0,
638140282263801534,0.003681,0.003694,0,0,0.00369,0.003692,0,0,
638140282265783121,0.003683,0.003694,0,0,0.00369,0.003692,0,0,
638140282266769319,0.003689,0.003694,0,0,0.00369,0.003692,0,0,
638140282266771741,0.00369,0.003694,0,0,0.00369,0.003692,0,0,
638140282283741908,0.00369,0.003694,0,0,0.00369,0.003693,0,0,
638140282286722370,0.003691,0.003692,0,0,0.00369,0.003693,0,0,
638140282286723217,0.003691,0.003692,0,0,0.00369,0.003693,0,0,
638140282286880490,0.003691,0.003692,0,0,0.00369,0.003692,0,0,
638140282299752183,0.00369,0.003691,0,0,0.00369,0.003692,0,0,
638140282299752836,0.00369,0.003691,0,0,0.00369,0.003692,0,0,
638140282306947600,0.00369,0.003691,0,0,0.00369,0.003693,0,0,
638140282359844143,0.00369,0.003692,0,0,0.00369,0.003693,0,0,
638140282359909356,0.003691,0.003692,0,0,0.00369,0.003693,0,0,
638140282366885339,0.003691,0.003692,0,0,0.00369,0.003692,0,0,
638140282368448191,0.003691,0.003692,0,0.00370038,0.00369,0.003692,0,0,
638140282395010266,0.003691,0.003692,0,0.00370038,0.00369,0.003693,0,0,
638140282395949001,0.003691,0.003692,0,0.00370038,0.00369,0.003692,0,0,
638140282410854801,0.00369,0.003692,0,0.00370038,0.00369,0.003692,0,0,
638140282415759131,0.003691,0.003692,0,0.00370038,0.00369,0.003692,0,0,
638140282422867990,0.003691,0.003692,0,0.00370038,0.00369,0.003691,0,0,
638140282440861981,0.003691,0.003692,0,0.00370038,0.00369,0.003692,0,0,
638140282442807178,0.00369,0.003691,0,0.00370038,0.00369,0.003692,0,0,
638140282442807633,0.00369,0.003691,0,0.00370038,0.00369,0.003692,0,0,
638140282451722958,0.00369,0.003692,0,0.00370038,0.00369,0.003692,0,0,
638140282455811554,0.00369,0.003691,0,0.00370038,0.00369,0.003692,0,0,
638140282472846107,0.00369,0.003691,0,0.00370038,0.00369,0.003693,0,0,
638140282473010948,0.003691,0.003691,0,0.00370038,0.00369,0.003693,0,0,
638140282473012348,0.003691,0.003692,0,0.00370038,0.00369,0.003693,0,0,
638140282473961457,0.003692,0.003692,0,0.00370038,0.00369,0.003693,0,0,
