time,binanceOMGBTCbidMax,binanceOMGBTCsellMin,nicehashOMGBTCbidMax,nicehashOMGBTCsellMin,okxOMGBTCOMG-BTCbidMax,okxOMGBTCOMG-BTCsellMin,bitstampOMGBTCbidMax,bitstampOMGBTCsellMin,
638140282179720809,0,0,0,0,0,6.45E-05,0,0,
638140282208812435,0,0,0,0,6.4E-05,6.45E-05,0,0,
638140282259854126,0,0,0,0,6.4E-05,6.44E-05,0,0,
638140282276833699,0,0,0,0,6.41E-05,6.44E-05,0,0,
638140282278891562,0,0,0,0,6.4E-05,6.44E-05,0,0,
638140282293955576,0,0,0,0,0,6.44E-05,0,0,
638140282295847471,0,0,0,0,6.4E-05,6.44E-05,0,0,
638140282303955037,0,0,0,0,6.41E-05,6.44E-05,0,0,
638140282346859134,6.29E-05,0,0,0,6.41E-05,6.44E-05,0,0,
638140282349832308,6.34E-05,0,0,0,6.41E-05,6.44E-05,0,0,
638140282351867183,6.34E-05,6.44E-05,0,0,6.41E-05,6.44E-05,0,0,
638140282351869115,6.34E-05,6.44E-05,0,0,6.41E-05,6.44E-05,0,0,
638140282385873410,6.34E-05,6.44E-05,0,0,6.42E-05,6.44E-05,0,0,
638140282404863035,6.42E-05,6.44E-05,0,0,6.42E-05,6.44E-05,0,0,
638140283006144189,6.42E-05,6.43E-05,0,0,6.42E-05,6.44E-05,0,0,
638140283035226802,6.41E-05,6.43E-05,0,0,6.42E-05,6.44E-05,0,0,
638140283057310156,6.41E-05,6.44E-05,0,0,6.42E-05,6.44E-05,0,0,
638140283076414397,6.41E-05,6.43E-05,0,0,6.42E-05,6.44E-05,0,0,
638140283114258046,6.41E-05,6.44E-05,0,0,6.42E-05,6.44E-05,0,0,
638140283117197837,6.41E-05,6.43E-05,0,0,6.42E-05,6.44E-05,0,0,
638140283228796942,6.41E-05,6.44E-05,0,0,6.42E-05,6.44E-05,0,0,
638140283266361920,6.42E-05,6.44E-05,0,0,6.42E-05,6.44E-05,0,0,
638140283446448383,6.41E-05,6.44E-05,0,0,6.42E-05,6.44E-05,0,0,
638140283481454537,6.42E-05,6.44E-05,0,0,6.42E-05,6.44E-05,0,0,
638140283487271114,6.41E-05,6.44E-05,0,0,6.42E-05,6.44E-05,0,0,
638140283539402723,6.42E-05,6.44E-05,0,0,6.42E-05,6.44E-05,0,0,
638140283845900982,6.42E-05,6.44E-05,0,0,6.42E-05,6.45E-05,0,0,
638140283874553334,6.43E-05,6.44E-05,0,0,6.42E-05,6.45E-05,0,0,
638140283960507966,6.43E-05,6.46E-05,0,0,6.42E-05,6.45E-05,0,0,
638140283966846277,6.43E-05,6.46E-05,0,0,6.43E-05,6.45E-05,0,0,
638140283966847086,6.43E-05,6.46E-05,0,0,6.43E-05,6.46E-05,0,0,
638140284025623569,6.44E-05,6.46E-05,0,0,6.43E-05,6.46E-05,0,0,
638140284047659271,6.44E-05,6.45E-05,0,0,6.43E-05,6.46E-05,0,0,
638140284051720281,6.44E-05,6.46E-05,0,0,6.43E-05,6.46E-05,0,0,
638140284057642117,6.43E-05,6.46E-05,0,0,6.43E-05,6.46E-05,0,0,
638140284062718794,6.43E-05,6.45E-05,0,0,6.43E-05,6.46E-05,0,0,
638140284085888104,6.43E-05,6.46E-05,0,0,6.43E-05,6.46E-05,0,0,
638140284091986323,6.43E-05,6.46E-05,0,0,6.43E-05,6.45E-05,0,0,
638140284119243537,6.43E-05,6.46E-05,0,0,6.42E-05,6.45E-05,0,0,
638140284120356272,6.43E-05,6.46E-05,0,0,6.43E-05,6.45E-05,0,0,
638140284120633003,6.43E-05,6.45E-05,0,0,6.43E-05,6.45E-05,0,0,
638140284121274587,6.43E-05,6.45E-05,0,0,6.42E-05,6.45E-05,0,0,
638140284158964973,6.43E-05,6.45E-05,0,0,6.43E-05,6.45E-05,0,0,
638140284173049529,6.43E-05,6.45E-05,0,0,6.42E-05,6.45E-05,0,0,
638140284380803223,6.42E-05,6.45E-05,0,0,6.42E-05,6.45E-05,0,0,
638140284476901110,6.43E-05,6.45E-05,0,0,6.42E-05,6.45E-05,0,0,
638140284478761616,6.43E-05,6.46E-05,0,0,6.42E-05,6.45E-05,0,0,
638140284479864124,6.43E-05,6.45E-05,0,0,6.42E-05,6.45E-05,0,0,
638140284491719804,6.43E-05,6.46E-05,0,0,6.42E-05,6.45E-05,0,0,
638140284545258055,6.43E-05,6.45E-05,0,0,6.42E-05,6.45E-05,0,0,
638140284546996543,6.43E-05,6.46E-05,0,0,6.42E-05,6.45E-05,0,0,
638140284547791997,6.43E-05,6.45E-05,0,0,6.42E-05,6.45E-05,0,0,
638140284553898838,6.43E-05,6.46E-05,0,0,6.42E-05,6.45E-05,0,0,
638140284595487713,6.43E-05,6.46E-05,0,0,6.43E-05,6.45E-05,0,0,
638140284626992835,6.43E-05,6.45E-05,0,0,6.43E-05,6.45E-05,0,0,
638140284711479466,6.43E-05,6.45E-05,0,0,6.42E-05,6.45E-05,0,0,
638140284991010122,6.43E-05,6.45E-05,0,0,6.43E-05,6.45E-05,0,0,
638140285041079185,6.43E-05,6.45E-05,0,0,6.42E-05,6.45E-05,0,0,
638140285240610641,6.43E-05,6.45E-05,6.4E-05,0,6.42E-05,6.45E-05,0,0,
638140285242831666,6.43E-05,6.45E-05,6.41E-05,0,6.42E-05,6.45E-05,0,0,
638140285307224061,6.43E-05,6.45E-05,6.4E-05,0,6.42E-05,6.45E-05,0,0,
638140285461158455,6.43E-05,6.45E-05,6.4E-05,6.46E-05,6.42E-05,6.45E-05,0,0,
638140285462222763,6.43E-05,6.45E-05,6.4E-05,6.45E-05,6.42E-05,6.45E-05,0,0,
638140285494604646,6.43E-05,6.45E-05,6.41E-05,6.45E-05,6.42E-05,6.45E-05,0,0,
638140285567232934,6.43E-05,6.45E-05,6.42E-05,6.45E-05,6.42E-05,6.45E-05,0,0,
638140285619361952,6.43E-05,6.45E-05,6.41E-05,6.45E-05,6.42E-05,6.45E-05,0,0,
638140285654931558,6.43E-05,6.45E-05,6.41E-05,6.44E-05,6.42E-05,6.45E-05,0,0,
638140285657125658,6.43E-05,6.45E-05,6.41E-05,6.45E-05,6.42E-05,6.45E-05,0,0,
638140285665289980,6.43E-05,6.45E-05,6.41E-05,6.44E-05,6.42E-05,6.45E-05,0,0,
638140285674613866,6.43E-05,6.45E-05,6.41E-05,6.46E-05,6.42E-05,6.45E-05,0,0,
638140285674614306,6.43E-05,6.45E-05,6.41E-05,6.46E-05,6.42E-05,6.45E-05,0,0,
638140285675938155,6.43E-05,6.45E-05,6.41E-05,6.45E-05,6.42E-05,6.45E-05,0,0,
638140285680227799,6.43E-05,6.45E-05,6.41E-05,6.44E-05,6.42E-05,6.45E-05,0,0,
638140285704469251,6.43E-05,6.45E-05,6.41E-05,6.45E-05,6.42E-05,6.45E-05,0,0,
638140285704470938,6.43E-05,6.45E-05,6.41E-05,6.45E-05,6.42E-05,6.45E-05,0,0,
638140285708726604,6.43E-05,6.45E-05,6.41E-05,6.48E-05,6.42E-05,6.45E-05,0,0,
638140285710894938,6.43E-05,6.45E-05,6.41E-05,6.46E-05,6.42E-05,6.45E-05,0,0,
638140285715183395,6.43E-05,6.45E-05,6.41E-05,6.44E-05,6.42E-05,6.45E-05,0,0,
638140285717679199,6.43E-05,6.45E-05,6.41E-05,6.45E-05,6.42E-05,6.45E-05,0,0,
638140285717679715,6.43E-05,6.45E-05,6.41E-05,6.45E-05,6.42E-05,6.45E-05,0,0,
638140285722272034,6.43E-05,6.45E-05,6.41E-05,6.44E-05,6.42E-05,6.45E-05,0,0,
638140285726541234,6.43E-05,6.45E-05,6.41E-05,6.46E-05,6.42E-05,6.45E-05,0,0,
638140285729027061,6.43E-05,6.45E-05,6.41E-05,6.44E-05,6.42E-05,6.45E-05,0,0,
638140285733021693,6.43E-05,6.45E-05,6.41E-05,6.44E-05,6.42E-05,6.44E-05,0,0,
638140285735201646,6.43E-05,6.45E-05,6.41E-05,6.45E-05,6.42E-05,6.44E-05,0,0,
638140285737437305,6.43E-05,6.45E-05,6.41E-05,6.44E-05,6.42E-05,6.44E-05,0,0,
638140285759949585,6.43E-05,6.45E-05,6.41E-05,6.44E-05,6.42E-05,6.45E-05,0,0,
638140285822015858,6.43E-05,6.45E-05,6.41E-05,6.44E-05,6.42E-05,6.44E-05,0,0,
638140285904586834,6.43E-05,6.45E-05,6.42E-05,6.44E-05,6.42E-05,6.44E-05,0,0,
638140285904587431,6.43E-05,6.45E-05,6.42E-05,6.44E-05,6.42E-05,6.44E-05,0,0,
638140285910115102,6.43E-05,6.45E-05,6.42E-05,6.45E-05,6.42E-05,6.44E-05,0,0,
638140285914371566,6.43E-05,6.45E-05,6.42E-05,6.44E-05,6.42E-05,6.44E-05,0,0,
638140285924986773,6.43E-05,6.45E-05,6.41E-05,6.44E-05,6.42E-05,6.44E-05,0,0,
638140285924987203,6.43E-05,6.45E-05,6.41E-05,6.44E-05,6.42E-05,6.44E-05,0,0,
638140285927010110,6.43E-05,6.45E-05,6.42E-05,6.44E-05,6.42E-05,6.44E-05,0,0,
638140285947389090,6.43E-05,6.45E-05,6.41E-05,6.44E-05,6.42E-05,6.44E-05,0,0,
