time,binanceUNIBTCbidMax,binanceUNIBTCsellMin,nicehashUNIBTCbidMax,nicehashUNIBTCsellMin,okxUNIBTCUNI-BTCbidMax,okxUNIBTCUNI-BTCsellMin,bitstampUNIBTCbidMax,bitstampUNIBTCsellMin,
638140282135810157,0,0,0.00027882,0,0,0,0,0,
638140282140048791,0,0,0.00027882,0.00027968,0,0,0,0,
638140282180800276,0,0,0.00027882,0.00027968,0,0.0002796,0,0,
638140282182663799,0,0,0.00027882,0.00027968,0.0002789,0.0002796,0,0,
638140282204742647,0,0,0.00027882,0.00027968,0.0002791,0.0002796,0,0,
638140282204743496,0,0,0.00027882,0.00027968,0.0002791,0.0002796,0,0,
638140282208659247,0,0,0.00027882,0.00027968,0.0002792,0.0002796,0,0,
638140282258599359,0,0,0.00027882,0.00027986,0.0002792,0.0002796,0,0,
638140282259709616,0,0,0.00027882,0.00027986,0.0002793,0.0002796,0,0,
638140282260477874,0,0,0.00027901,0.00027986,0.0002793,0.0002796,0,0,
638140282306946437,0,0,0.00027883,0.00027986,0.0002793,0.0002796,0,0,
638140282334714799,0,0.0002797,0.00027883,0.00027986,0.0002793,0.0002796,0,0,
638140282351861743,0,0.0002794,0.00027883,0.00027986,0.0002793,0.0002796,0,0,
638140282351862489,0,0.0002794,0.00027883,0.00027986,0.0002793,0.0002796,0,0,
638140282353675628,0.000279,0.0002794,0.00027883,0.00027986,0.0002793,0.0002796,0,0,
638140282359907827,0.0002792,0.0002794,0.00027883,0.00027986,0.0002793,0.0002796,0,0,
638140282360632533,0.0002792,0.0002794,0.00027883,0.00027986,0.0002792,0.0002796,0,0,
638140282382050744,0.0002792,0.0002793,0.00027883,0.00027986,0.0002792,0.0002796,0,0,
638140282383139756,0.0002792,0.0002793,0.00027883,0.00027968,0.0002792,0.0002796,0,0,
638140282383140412,0.0002792,0.0002793,0.00027883,0.00027968,0.0002792,0.0002796,0,0,
638140282383882406,0.0002792,0.0002794,0.00027883,0.00027968,0.0002792,0.0002796,0,0,
638140282474221956,0.0002793,0.0002794,0.00027883,0.00027968,0.0002792,0.0002796,0,0,
638140282536183948,0.0002793,0.0002794,0.00027883,0.00027987,0.0002792,0.0002796,0,0,
638140282632981385,0.0002792,0.0002794,0.00027883,0.00027987,0.0002792,0.0002796,0,0,
638140282632982125,0.0002792,0.0002793,0.00027883,0.00027987,0.0002792,0.0002796,0,0,
638140282634707105,0.0002792,0.0002793,0.00027883,0.00027968,0.0002792,0.0002796,0,0,
638140282634707574,0.0002792,0.0002793,0.00027883,0.00027968,0.0002792,0.0002796,0,0,
638140282652818612,0.0002793,0.0002793,0.00027883,0.00027968,0.0002792,0.0002796,0,0,
638140282652819528,0.0002793,0.0002794,0.00027883,0.00027968,0.0002792,0.0002796,0,0,
638140282653945581,0.0002793,0.0002795,0.00027883,0.00027968,0.0002792,0.0002796,0,0,
638140282653945945,0.0002794,0.0002795,0.00027883,0.00027968,0.0002792,0.0002796,0,0,
638140282654079221,0.0002794,0.0002795,0.00027901,0.00027968,0.0002792,0.0002796,0,0,
638140282655023003,0.0002794,0.0002795,0.00027901,0.00027988,0.0002792,0.0002796,0,0,
638140282660874581,0.0002793,0.0002795,0.00027901,0.00027988,0.0002792,0.0002796,0,0,
638140282720027191,0.0002793,0.0002794,0.00027901,0.00027988,0.0002792,0.0002796,0,0,
638140282852106474,0.0002793,0.0002795,0.00027901,0.00027988,0.0002792,0.0002796,0,0,
638140282976148813,0.0002794,0.0002795,0.00027901,0.00027988,0.0002792,0.0002796,0,0,
638140283041178971,0.0002793,0.0002795,0.00027901,0.00027988,0.0002792,0.0002796,0,0,
638140283048064958,0.0002793,0.0002794,0.00027901,0.00027988,0.0002792,0.0002796,0,0,
638140283049184380,0.0002793,0.0002795,0.00027901,0.00027988,0.0002792,0.0002796,0,0,
638140283056320845,0.0002794,0.0002795,0.00027901,0.00027988,0.0002792,0.0002796,0,0,
