time,binanceXLMBTCbidMax,binanceXLMBTCsellMin,nicehashXLMBTCbidMax,nicehashXLMBTCsellMin,okxXLMBTCXLM-BTCbidMax,okxXLMBTCXLM-BTCsellMin,bitstampXLMBTCbidMax,bitstampXLMBTCsellMin,
638140282118754826,0,0,0,0,0,3.87E-06,0,0,
638140282119718195,0,0,0,0,3.83E-06,3.87E-06,0,0,
638140282224642806,0,3.85E-06,0,0,3.83E-06,3.87E-06,0,0,
638140282245673749,3.83E-06,3.85E-06,0,0,3.83E-06,3.87E-06,0,0,
638140282256876344,3.84E-06,3.85E-06,0,0,3.83E-06,3.87E-06,0,0,
638140282303794434,3.84E-06,3.85E-06,0,0,3.83E-06,3.86E-06,0,0,
638140282473873777,3.84E-06,3.85E-06,0,0,3.83E-06,3.85E-06,0,0,
638140282872776853,3.84E-06,3.85E-06,0,0,3.84E-06,3.85E-06,0,0,
638140283246031293,3.84E-06,3.85E-06,0,0,3.84E-06,3.86E-06,0,0,
638140283288244761,3.84E-06,3.85E-06,0,3.86E-06,3.84E-06,3.86E-06,0,0,
638140283288246727,3.84E-06,3.85E-06,0,3.85E-06,3.84E-06,3.86E-06,0,0,
638140283338785456,3.84E-06,3.85E-06,0,3.85E-06,3.84E-06,3.85E-06,0,0,
638140283357831041,3.84E-06,3.85E-06,0,3.85E-06,3.84E-06,3.86E-06,0,0,
638140283535839851,3.84E-06,3.85E-06,0,3.85E-06,3.84E-06,3.85E-06,0,0,
638140283545914518,3.84E-06,3.85E-06,0,3.85E-06,3.84E-06,3.86E-06,0,0,
638140283553867723,3.84E-06,3.85E-06,0,3.85E-06,3.84E-06,3.85E-06,0,0,
638140283562795813,3.84E-06,3.85E-06,0,3.85E-06,3.84E-06,3.86E-06,0,0,
638140283647828965,3.84E-06,3.85E-06,0,3.85E-06,3.84E-06,3.85E-06,0,0,
638140283669780778,3.84E-06,3.85E-06,0,3.85E-06,3.84E-06,3.86E-06,0,0,
638140283731881375,3.84E-06,3.85E-06,0,3.85E-06,3.84E-06,3.85E-06,0,0,
638140283810803349,3.84E-06,3.85E-06,0,3.85E-06,3.84E-06,3.86E-06,0,0,
638140284046689095,3.85E-06,3.85E-06,0,3.85E-06,3.84E-06,3.86E-06,0,0,
638140284046695454,3.85E-06,3.86E-06,0,3.85E-06,3.84E-06,3.86E-06,0,0,
638140284047319820,3.85E-06,3.86E-06,3.84E-06,3.85E-06,3.84E-06,3.86E-06,0,0,
638140284047320440,3.85E-06,3.86E-06,3.84E-06,3.85E-06,3.84E-06,3.86E-06,0,0,
638140284048144825,3.85E-06,3.86E-06,3.84E-06,3.86E-06,3.84E-06,3.86E-06,0,0,
638140284248899051,3.85E-06,3.86E-06,3.84E-06,3.86E-06,3.84E-06,3.85E-06,0,0,
638140284298960857,3.85E-06,3.86E-06,3.84E-06,3.86E-06,3.84E-06,3.86E-06,0,0,
638140284332850240,3.84E-06,3.86E-06,3.84E-06,3.86E-06,3.84E-06,3.86E-06,0,0,
638140284332855686,3.84E-06,3.85E-06,3.84E-06,3.86E-06,3.84E-06,3.86E-06,0,0,
638140284333174320,3.84E-06,3.85E-06,3.84E-06,3.85E-06,3.84E-06,3.86E-06,0,0,
638140284334433956,3.84E-06,3.85E-06,3.83E-06,3.85E-06,3.84E-06,3.86E-06,0,0,
638140284340935410,3.84E-06,3.85E-06,3.83E-06,3.85E-06,3.84E-06,3.85E-06,0,0,
638140284343946306,3.84E-06,3.85E-06,3.83E-06,3.85E-06,3.84E-06,3.86E-06,0,0,
638140284501860020,3.84E-06,3.86E-06,3.83E-06,3.85E-06,3.84E-06,3.86E-06,0,0,
638140284501878793,3.85E-06,3.86E-06,3.83E-06,3.85E-06,3.84E-06,3.86E-06,0,0,
638140284502210900,3.85E-06,3.86E-06,3.83E-06,3.86E-06,3.84E-06,3.86E-06,0,0,
638140284503265769,3.85E-06,3.86E-06,3.84E-06,3.86E-06,3.84E-06,3.86E-06,0,0,
638140284706802995,3.85E-06,3.86E-06,3.84E-06,3.86E-06,3.85E-06,3.86E-06,0,0,
638140287478994462,3.85E-06,3.86E-06,3.84E-06,3.86E-06,3.85E-06,3.87E-06,0,0,
638140287703991149,3.85E-06,3.86E-06,3.84E-06,3.86E-06,3.86E-06,3.87E-06,0,0,
638140288086278281,3.85E-06,3.86E-06,3.85E-06,3.86E-06,3.86E-06,3.87E-06,0,0,
638140288094488298,3.85E-06,3.86E-06,3.84E-06,3.86E-06,3.86E-06,3.87E-06,0,0,
638140288104746024,3.85E-06,3.86E-06,3.85E-06,3.86E-06,3.86E-06,3.87E-06,0,0,
638140288117017638,3.85E-06,3.86E-06,3.84E-06,3.86E-06,3.86E-06,3.87E-06,0,0,
638140288189434429,3.85E-06,3.86E-06,3.85E-06,3.86E-06,3.86E-06,3.87E-06,0,0,
638140288199741837,3.85E-06,3.86E-06,3.84E-06,3.86E-06,3.86E-06,3.87E-06,0,0,
638140288219965624,3.85E-06,3.86E-06,3.85E-06,3.86E-06,3.86E-06,3.87E-06,0,0,
638140288226363596,3.85E-06,3.86E-06,3.84E-06,3.86E-06,3.86E-06,3.87E-06,0,0,
638140288234609037,3.86E-06,3.86E-06,3.84E-06,3.86E-06,3.86E-06,3.87E-06,0,0,
638140288236366850,3.86E-06,3.86E-06,3.85E-06,3.86E-06,3.86E-06,3.87E-06,0,0,
638140288244588908,3.86E-06,3.86E-06,3.84E-06,3.86E-06,3.86E-06,3.87E-06,0,0,
638140288263098111,3.86E-06,3.86E-06,3.84E-06,3.86E-06,3.85E-06,3.86E-06,0,0,
638140288263099143,3.86E-06,3.86E-06,3.84E-06,3.86E-06,3.85E-06,3.86E-06,0,0,
638140288277574569,3.85E-06,3.86E-06,3.84E-06,3.86E-06,3.85E-06,3.86E-06,0,0,
638140288283525663,3.85E-06,3.87E-06,3.84E-06,3.86E-06,3.85E-06,3.86E-06,0,0,
638140288284589356,3.86E-06,3.87E-06,3.84E-06,3.86E-06,3.85E-06,3.86E-06,0,0,
638140288305654577,3.85E-06,3.87E-06,3.84E-06,3.86E-06,3.85E-06,3.86E-06,0,0,
638140288305655556,3.85E-06,3.86E-06,3.84E-06,3.86E-06,3.85E-06,3.86E-06,0,0,
638140288328027500,3.85E-06,3.86E-06,3.84E-06,3.87E-06,3.85E-06,3.86E-06,0,0,
