time,binanceXRPBTCbidMax,binanceXRPBTCsellMin,nicehashXRPBTCbidMax,nicehashXRPBTCsellMin,okxXRPBTCXRP-BTCbidMax,okxXRPBTCXRP-BTCsellMin,bitstampXRPBTCbidMax,bitstampXRPBTCsellMin,
638140282083979315,0,0,1.846E-05,0,0,0,0,0,
638140282085633207,0,0,1.846E-05,1.853E-05,0,0,0,0,
638140282126832479,0,0,1.846E-05,1.853E-05,1.848E-05,1.853E-05,0,0,
638140282126833433,0,0,1.846E-05,1.853E-05,1.848E-05,1.853E-05,0,0,
638140282126834235,0,0,1.846E-05,1.853E-05,1.848E-05,1.853E-05,0,0,
638140282126835045,0,0,1.846E-05,1.853E-05,1.848E-05,1.853E-05,0,0,
638140282133615678,0,0,1.846E-05,1.853E-05,1.85E-05,1.853E-05,0,0,
638140282144615278,0,0,1.846E-05,1.853E-05,1.849E-05,1.853E-05,0,0,
638140282155774733,0,0,1.846E-05,1.853E-05,1.849E-05,1.852E-05,0,0,
638140282162732215,0,0,1.846E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140282170716843,0,0,1.846E-05,1.853E-05,1.849E-05,1.852E-05,0,0,
638140282192704432,0,0,1.846E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140282197661781,0,0,1.846E-05,1.853E-05,1.85E-05,1.851E-05,0,0,
638140282200755783,0,0,1.846E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140282255827043,0,1.851E-05,1.846E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140282266011301,1.846E-05,1.851E-05,1.846E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140282268822229,1.848E-05,1.851E-05,1.846E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140282272775808,1.849E-05,1.851E-05,1.846E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140282290808964,1.85E-05,1.851E-05,1.846E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140282309812328,1.851E-05,1.851E-05,1.846E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140282309813108,1.851E-05,1.852E-05,1.846E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
