time,binanceXRPUSDTbidMax,binanceXRPUSDTsellMin,nicehashXRPUSDTbidMax,nicehashXRPUSDTsellMin,okxXRPUSDTXRP-USDTbidMax,okxXRPUSDTXRP-USDTsellMin,bitstampXRPUSDTbidMax,bitstampXRPUSDTsellMin,
638140282112158173,0,0,0.3673,0,0,0,0,0,
638140282112163929,0,0,0.3673,0,0,0.36806,0,0,
638140282112164635,0,0,0.3673,0,0,0.36791,0,0,
638140282112165653,0,0,0.3673,0,0,0.36791,0,0,
638140282112166435,0,0,0.3673,0,0,0.36791,0,0,
638140282112167468,0,0,0.3673,0,0,0.3679,0,0,
638140282112171004,0,0,0.3673,0,0,0.36785,0,0,
638140282112172081,0,0,0.3673,0,0.36777,0.36785,0,0,
638140282112172763,0,0,0.3673,0,0.36777,0.36785,0,0,
638140282112173573,0,0,0.3673,0,0.36777,0.36785,0,0,
638140282112174188,0,0,0.3673,0,0.36781,0.36785,0,0,
638140282112175861,0,0,0.3673,0,0.36782,0.36785,0,0,
638140282112176206,0,0,0.3673,0,0.36784,0.36785,0,0,
638140282112176605,0,0,0.3673,0,0.36784,0.36785,0,0,
638140282112176936,0,0,0.3673,0,0.36784,0.36785,0,0,
638140282112358468,0,0,0.3673,0,0.36782,0.36785,0,0,
638140282112361044,0,0,0.3673,0,0.36782,0.36783,0,0,
638140282112361314,0,0,0.3673,0,0.36782,0.36783,0,0,
638140282112792974,0,0,0.3673,0,0.36781,0.36783,0,0,
638140282112798500,0,0,0.3673,0,0.36781,0.36785,0,0,
638140282113920801,0,0,0.3673,0,0.36782,0.36788,0,0,
638140282113922663,0,0,0.3673,0,0.36782,0.36788,0,0,
638140282114824920,0,0,0.3673,0,0.36783,0.36791,0,0,
638140282114825600,0,0,0.3673,0,0.36783,0.36789,0,0,
638140282114826754,0,0,0.3673,0,0.36783,0.36789,0,0,
638140282114827076,0,0,0.3673,0,0.36783,0.36789,0,0,
638140282115917099,0,0,0.3673,0,0.36785,0.36789,0,0,
638140282115917925,0,0,0.3673,0,0.36788,0.36789,0,0,
638140282115926721,0,0,0.3673,0,0.36788,0.36793,0,0,
638140282116854795,0,0,0.3673,0,0.36785,0.36793,0,0,
638140282116863509,0,0,0.3673,0,0.36785,0.36794,0,0,
638140282117810021,0,0,0.3673,0,0.36785,0.36793,0,0,
638140282118920677,0,0,0.3673,0,0.36785,0.36792,0,0,
638140282118921356,0,0,0.3673,0,0.36785,0.36791,0,0,
638140282119889397,0,0,0.3673,0,0.36785,0.36789,0,0,
638140282119890035,0,0,0.3673,0,0.36785,0.36787,0,0,
638140282120831166,0,0,0.3673,0,0.36785,0.36786,0,0,
638140282124796586,0,0,0.3673,0,0.36782,0.36786,0,0,
638140282125750653,0,0,0.3673,0,0.36781,0.36786,0,0,
638140282125751576,0,0,0.3673,0,0.36781,0.36785,0,0,
638140282126837830,0,0,0.3673,0,0.36783,0.36785,0,0,
638140282127789960,0,0,0.3673,0,0.36784,0.36785,0,0,
638140282129829404,0,0,0.3673,0,0.36783,0.36785,0,0,
638140282132840256,0,0,0.3673,0,0.36784,0.36785,0,0,
638140282136748982,0,0,0.3673,0,0.36784,0.36788,0,0,
638140282137858709,0,0,0.3673,0,0.36784,0.36787,0,0,
638140282137859174,0,0,0.3673,0,0.36784,0.36787,0,0,
638140282140828178,0,0,0.3673,0,0.36784,0.36786,0,0,
638140282141768404,0,0,0.3673,0,0.36784,0.36785,0,0,
638140282144785228,0,0,0.3673,0,0.36781,0.36785,0,0,
638140282145870919,0,0,0.3673,0,0.36784,0.36785,0,0,
638140282145871350,0,0,0.3673,0,0.36784,0.36785,0,0,
638140282145871663,0,0,0.3673,0,0.36784,0.36785,0,0,
638140282154819315,0,0,0.3673,0,0.36784,0.36789,0,0,
638140282155770807,0,0,0.3673,0,0.36784,0.36788,0,0,
638140282156885843,0,0,0.3673,0,0.36784,0.36786,0,0,
638140282157829754,0,0,0.3673,0,0.36784,0.36785,0,0,
638140282158935894,0,0,0.3673,0,0.36784,0.36788,0,0,
638140282160851642,0,0,0.3673,0,0.36784,0.36786,0,0,
638140282160852149,0,0,0.3673,0,0.36784,0.36786,0,0,
638140282161797853,0,0,0.3673,0,0.36782,0.36786,0,0,
638140282162747004,0,0,0.3673,0,0.36783,0.36786,0,0,
638140282162748412,0,0,0.3673,0,0.36785,0.36786,0,0,
638140282163835689,0,0,0.3673,0,0.36787,0.36786,0,0,
638140282163841913,0,0,0.3673,0,0.36787,0.36791,0,0,
638140282164774592,0,0,0.3673,0,0.36785,0.36791,0,0,
638140282164776467,0,0,0.3673,0,0.36785,0.3679,0,0,
638140282165755527,0,0,0.3673,0,0.36785,0.36791,0,0,
638140282165764531,0,0,0.3673,0,0.36784,0.36791,0,0,
638140282166796391,0,0,0.3673,0,0.36784,0.3679,0,0,
638140282167762429,0,0,0.3673,0,0.36784,0.36788,0,0,
638140282167762877,0,0,0.3673,0,0.36784,0.36788,0,0,
638140282170882088,0,0,0.3673,0,0.36787,0.36788,0,0,
638140282195889119,0,0,0.3673,0,0.36788,0.36788,0,0,
638140282195899449,0,0,0.3673,0,0.36788,0.36797,0,0,
638140282195899746,0,0,0.3673,0,0.36788,0.36797,0,0,
638140282196826032,0,0,0.3673,0,0.36794,0.36797,0,0,
638140282196826684,0,0,0.3673,0,0.36794,0.36797,0,0,
638140282196827195,0,0,0.3673,0,0.36796,0.36797,0,0,
638140282196834251,0,0,0.3673,0,0.36796,0.36799,0,0,
638140282197767765,0,0,0.3673,0,0.36795,0.36799,0,0,
638140282201851679,0,0,0.3673,0,0.36796,0.36799,0,0,
638140282203799467,0,0,0.3673,0,0.36795,0.36799,0,0,
638140282203802212,0,0,0.3673,0,0.36795,0.36798,0,0,
638140282204768354,0,0,0.3673,0,0.36796,0.36798,0,0,
638140282205802078,0,0,0.3673,0,0.36795,0.36798,0,0,
638140282205806344,0,0,0.3673,0,0.36795,0.36799,0,0,
638140282206801350,0,0,0.3673,0,0.36798,0.36799,0,0,
638140282206805550,0,0,0.3673,0,0.36798,0.36803,0,0,
638140282207854744,0,0,0.3673,0,0.36798,0.36802,0,0,
638140282208968470,0,0,0.3673,0,0.36799,0.36802,0,0,
638140282208969155,0,0,0.3673,0,0.36799,0.36802,0,0,
638140282208972402,0,0,0.3673,0,0.36799,0.36804,0,0,
638140282209825067,0,0,0.3673,0,0.368,0.36804,0,0,
638140282210833364,0,0,0.3673,0,0.36799,0.36804,0,0,
638140282210835145,0,0,0.3673,0,0.36803,0.36804,0,0,
638140282210836377,0,0,0.3673,0,0.36803,0.36805,0,0,
638140282211795043,0,0,0.3673,0,0.368,0.36805,0,0,
638140282211798376,0,0,0.3673,0,0.368,0.36804,0,0,
638140282212887083,0,0,0.3673,0,0.36796,0.36804,0,0,
638140282212887525,0,0,0.3673,0,0.36796,0.36803,0,0,
638140282212887895,0,0,0.3673,0,0.36796,0.36803,0,0,
638140282212888233,0,0,0.3673,0,0.36796,0.36803,0,0,
638140282213826319,0,0,0.3673,0,0.36799,0.36803,0,0,
638140282213826833,0,0,0.3673,0,0.36799,0.36803,0,0,
638140282213827155,0,0,0.3673,0,0.36799,0.36803,0,0,
638140282213830152,0,0,0.3673,0,0.36799,0.368,0,0,
638140282213830895,0,0,0.3673,0,0.36799,0.368,0,0,
638140282213831200,0,0,0.3673,0,0.36799,0.368,0,0,
638140282213831518,0,0,0.3673,0,0.36799,0.368,0,0,
638140282213831738,0,0,0.3673,0,0.36799,0.368,0,0,
638140282230813474,0,0,0.3673,0,0.36795,0.36799,0,0,
638140282230814529,0,0,0.3673,0,0.36795,0.36799,0,0,
638140282231597389,0,0.3681,0.3673,0,0.36795,0.36799,0,0,
638140282231762757,0,0.3681,0.3673,0,0.36797,0.36799,0,0,
638140282231764642,0,0.3681,0.3673,0,0.36798,0.36799,0,0,
638140282232724980,0.3675,0.3681,0.3673,0,0.36798,0.36799,0,0,
638140282233670573,0.3677,0.3681,0.3673,0,0.36798,0.36799,0,0,
638140282235725728,0.368,0.3681,0.3673,0,0.36798,0.36799,0,0,
638140282252793610,0.368,0.3681,0.3673,0,0.368,0.36799,0,0,
638140282252794574,0.368,0.3681,0.3673,0,0.368,0.36799,0,0,
638140282252800309,0.368,0.3681,0.3673,0,0.368,0.36801,0,0,
638140282252800594,0.368,0.3681,0.3673,0,0.368,0.36801,0,0,
638140282253883196,0.368,0.3681,0.3673,0,0.36797,0.36801,0,0,
638140282254823989,0.368,0.3681,0.3673,0,0.36798,0.36801,0,0,
638140282254825428,0.368,0.3681,0.3673,0,0.368,0.36801,0,0,
638140282254825722,0.368,0.3681,0.3673,0,0.368,0.36801,0,0,
